"dgp","n","arm","n_seeds","zrmse","zrmse_mcse","acc","acc_mcse","coverage"
"avonet",300,"rphylopars",20,0.547324330934178,0.0440199319318524,NA,NA,NA
"avonet",300,"bace",20,0.622400090715053,0.0510614884310924,0.727407407407407,0.00634370410431079,NA
"avonet",300,"gnn_on_full",20,0.723268629941755,0.058481023140447,0.766296296296296,0.00652602350171436,0.968055555555556
"avonet",300,"gnn_on",20,0.775148253790327,0.0599764497622672,0.745740740740741,0.00600985281071342,0.957222222222222
"avonet",300,"gnn_off_pure",20,0.790163572857479,0.0635475256623606,0.77537037037037,0.00324970911656501,0.969583333333333
"avonet",300,"gnn_off",20,0.790374291981592,0.0636310824704906,0.765,0.00706046679207021,0.969305555555556
"avonet",300,"floor",20,1.03248647528445,0.0628347949583975,0.633333333333333,0.00479904449854908,NA
"bace_dgp",100,"floor",20,1.02114944929809,0.0175158529519995,0.498333333333333,0.0205871418452568,NA
"bace_dgp",100,"gnn_off",20,1.02491727049927,0.0199228395446815,0.528333333333333,0.0195377876485243,0.891111111111111
"bace_dgp",100,"gnn_on_full",20,1.02646707854098,0.0183380136445175,0.528333333333333,0.0195377876485243,0.890555555555556
"bace_dgp",100,"gnn_on",20,1.03128838459883,0.0183221060686904,0.528333333333333,0.0195377876485243,0.886111111111111
"bace_dgp",100,"gnn_off_pure",20,1.06010732889041,0.0223346965015068,0.54,0.021575381248622,0.893333333333333
"bace_dgp",100,"bace",20,1.10934502097529,0.0209105610444841,0.53,0.0255809688032389,NA
"bace_dgp",100,"rphylopars",20,1.22092655641332,0.0507105740094196,NA,NA,NA
"bace_dgp",300,"gnn_off",20,0.985803540658646,0.0101799539664945,0.51,0.0132183148189802,0.959074074074074
"bace_dgp",300,"gnn_on",20,0.987796011913779,0.0102198909252263,0.51,0.0132183148189802,0.958148148148148
"bace_dgp",300,"gnn_on_full",20,0.990483427088644,0.00999681032594039,0.51,0.0132183148189802,0.957962962962963
"bace_dgp",300,"floor",20,1.01159618129742,0.013242527509179,0.501111111111111,0.0134135016789222,NA
"bace_dgp",300,"bace",20,1.02155493887577,0.0101278418819581,0.527222222222222,0.0139029168923525,NA
"bace_dgp",300,"gnn_off_pure",20,1.04666009992949,0.0101061763807657,0.492777777777778,0.00861700420874119,0.963333333333333
"bace_dgp",300,"rphylopars",20,1.15995768783146,0.0376085177507798,NA,NA,NA
"bace_dgp",1000,"gnn_off",20,0.955523816770253,0.00802369701292504,0.512833333333333,0.00535999367198719,0.949888888888889
"bace_dgp",1000,"gnn_on",20,0.966280704595169,0.00879278685202281,0.512833333333333,0.00535999367198719,0.950055555555556
"bace_dgp",1000,"gnn_on_full",20,0.966714974074186,0.00925259751069684,0.512833333333333,0.00535999367198719,0.950388888888889
"bace_dgp",1000,"bace",20,0.991133012971956,0.00887328119372181,0.512833333333333,0.00716666666666667,NA
"bace_dgp",1000,"floor",20,1.00210172942497,0.00684087551108263,0.517833333333333,0.00454525650817929,NA
"bace_dgp",1000,"gnn_off_pure",20,1.03386906329141,0.00901344712806185,0.511666666666667,0.00488164002736018,0.955888888888889
"bace_dgp",1000,"rphylopars",20,1.13707883660167,0.0318437283925412,NA,NA,NA
"bm_mixed",100,"gnn_off_pure",20,0.250598947095028,0.0171419103640237,0.836666666666667,0.0153706639395154,0.926666666666667
"bm_mixed",100,"rphylopars",20,0.255954154426787,0.0177929256342023,NA,NA,NA
"bm_mixed",100,"gnn_off",20,0.270094586013204,0.0204949041833511,0.814166666666667,0.016896442409036,0.91125
"bm_mixed",100,"gnn_on_full",20,0.272029251465848,0.0204028566536378,0.814166666666667,0.016896442409036,0.904583333333333
"bm_mixed",100,"bace",20,0.309417970731785,0.0178625337399985,0.8175,0.0129931943499358,NA
"bm_mixed",100,"gnn_on",20,0.313327301257337,0.0236158062746294,0.801666666666667,0.0145547966410788,0.88875
"bm_mixed",100,"floor",20,1.00541403575733,0.0150873720166256,0.335,0.00791955164422924,NA
"bm_mixed",300,"gnn_off_pure",20,0.150802259598281,0.0083939077467523,0.928333333333333,0.00655981623857107,0.976944444444445
"bm_mixed",300,"gnn_off",20,0.151073955318789,0.00836366054045031,0.928333333333333,0.00655981623857107,0.976805555555556
"bm_mixed",300,"gnn_on_full",20,0.151724469012497,0.00826884846050313,0.928055555555556,0.00659162196897974,0.976527777777778
"bm_mixed",300,"rphylopars",20,0.151888173926259,0.00843446021173511,NA,NA,NA
"bm_mixed",300,"bace",20,0.17360584307187,0.00915774462289365,0.912777777777778,0.00706302270975894,NA
"bm_mixed",300,"gnn_on",20,0.175189972206961,0.00893899305594792,0.915555555555556,0.00618640484758891,0.966805555555556
"bm_mixed",300,"floor",20,0.991410033475746,0.00762963770016767,0.380277777777778,0.00368238258746533,NA
