"dgp","n","type","arm","mean","mcse","k"
"types_mixed",300,"binary","gnn_on",0.913333333333333,0.0214878662286819,5
"types_mixed",300,"binary","freq",0.915555555555556,0.0191162783712058,5
"types_mixed",300,"binary","mf_phylo",0.92,0.0193728841935141,5
"types_mixed",300,"binary","bace",0.915555555555556,0.0159474445493415,5
"types_mixed",300,"binary","floor",0.457777777777778,0.016629588385662,5
"types_mixed",300,"categorical","gnn_off_pure",0.88,0.0292709774940433,5
"types_mixed",300,"categorical","gnn_off",0.88,0.0292709774940433,5
"types_mixed",300,"categorical","gnn_on_full",0.88,0.0292709774940433,5
"types_mixed",300,"categorical","gnn_on",0.877777777777778,0.0265274141918074,5
"types_mixed",300,"categorical","freq",0.88,0.026620330112691,5
"types_mixed",300,"categorical","mf_phylo",0.855555555555556,0.0322030594359765,5
"types_mixed",300,"categorical","bace",0.851111111111111,0.030951973949298,5
"types_mixed",300,"categorical","floor",0.262222222222222,0.0147405546238018,5
"types_mixed",300,"continuous","gnn_off_pure",0.153083821545811,0.0208783062937271,10
"types_mixed",300,"continuous","gnn_off",0.153335914281532,0.0208601066995734,10
"types_mixed",300,"continuous","gnn_on_full",0.154466326751765,0.0206947973955864,10
"types_mixed",300,"continuous","gnn_on",0.189448960162111,0.0297237182293208,10
"types_mixed",300,"continuous","freq",0.153244836993983,0.0208193736510743,10
"types_mixed",300,"continuous","mf_phylo",0.296142378205403,0.0316135292635971,10
"types_mixed",300,"continuous","bace",0.172699827756101,0.0199518606849614,10
"types_mixed",300,"continuous","floor",1.00224255606805,0.0299192305343856,10
"types_mixed",300,"count","gnn_off_pure",0.488581991402346,0.127860387509326,5
"types_mixed",300,"count","gnn_off",0.548627726050787,0.12175747259535,5
"types_mixed",300,"count","gnn_on_full",0.524706865237329,0.120814611491506,5
"types_mixed",300,"count","gnn_on",0.521427730247699,0.122805838977002,5
"types_mixed",300,"count","freq",0.599900751563888,0.118410368994884,5
"types_mixed",300,"count","mf_phylo",0.465331875893366,0.0921612785339747,5
"types_mixed",300,"count","bace",0.533056716701929,0.100827181614453,5
"types_mixed",300,"count","floor",0.95022379400562,0.0714683445782249,5
"types_mixed",300,"ordinal","gnn_off_pure",0.893333333333333,0.00566557723732532,5
"types_mixed",300,"ordinal","gnn_off",0.893333333333333,0.00566557723732532,5
"types_mixed",300,"ordinal","gnn_on_full",0.893333333333333,0.00566557723732532,5
"types_mixed",300,"ordinal","gnn_on",0.851111111111111,0.0090267093384844,5
"types_mixed",300,"ordinal","freq",0.884444444444444,0.0090267093384844,5
"types_mixed",300,"ordinal","mf_phylo",0.828888888888889,0.0159474445493415,5
"types_mixed",300,"ordinal","bace",0.84,0.00831479419283097,5
"types_mixed",300,"ordinal","floor",0.202222222222222,0.00955813918560292,5
"types_mixed",300,"proportion","gnn_off_pure",0.448903237529946,0.0311879338667318,5
"types_mixed",300,"proportion","gnn_off",0.451341936778969,0.0306185498962243,5
"types_mixed",300,"proportion","gnn_on_full",0.448653183850835,0.0311759820012726,5
"types_mixed",300,"proportion","gnn_on",0.453094312870903,0.0329648130411662,5
"types_mixed",300,"proportion","freq",0.469553710451938,0.0398920067702344,5
"types_mixed",300,"proportion","mf_phylo",0.441739350465856,0.0413170598229593,5
"types_mixed",300,"proportion","bace",0.478501144692055,0.0470906844993589,5
"types_mixed",300,"proportion","floor",1.00676345459544,0.0248169320908385,5
