"arm","trait","metric","value","coverage","dgp","n","seed","type"
"gnn_on_full","Tarsus.Length","zRMSE",0.513518227202289,0.988888888888889,"avonet",300,2,"continuous"
"gnn_on_full","Wing.Length","zRMSE",0.65602784608832,1,"avonet",300,2,"continuous"
"gnn_on_full","Trophic.Level","accuracy",0.788888888888889,NA,"avonet",300,2,"categorical"
"gnn_on_full","Primary.Lifestyle","accuracy",0.811111111111111,NA,"avonet",300,2,"categorical"
"gnn_on_full","Migration","accuracy",0.744444444444444,NA,"avonet",300,2,"ordinal"
"gnn_off","Mass","zRMSE",1.96077953764717,0.988888888888889,"avonet",300,2,"continuous"
"gnn_off","Beak.Length_Culmen","zRMSE",0.71970556530641,0.966666666666667,"avonet",300,2,"continuous"
"gnn_off","Tarsus.Length","zRMSE",0.576280545300791,0.988888888888889,"avonet",300,2,"continuous"
"gnn_off","Wing.Length","zRMSE",0.713825378052962,0.988888888888889,"avonet",300,2,"continuous"
"gnn_off","Trophic.Level","accuracy",0.788888888888889,NA,"avonet",300,2,"categorical"
"gnn_off","Primary.Lifestyle","accuracy",0.811111111111111,NA,"avonet",300,2,"categorical"
"gnn_off","Migration","accuracy",0.744444444444444,NA,"avonet",300,2,"ordinal"
"gnn_off_pure","Mass","zRMSE",1.96077953764717,0.988888888888889,"avonet",300,2,"continuous"
"gnn_off_pure","Beak.Length_Culmen","zRMSE",0.71970556530641,0.966666666666667,"avonet",300,2,"continuous"
"gnn_off_pure","Tarsus.Length","zRMSE",0.576280545300791,0.988888888888889,"avonet",300,2,"continuous"
"gnn_off_pure","Wing.Length","zRMSE",0.713825378052962,0.988888888888889,"avonet",300,2,"continuous"
"gnn_off_pure","Trophic.Level","accuracy",0.788888888888889,NA,"avonet",300,2,"categorical"
"gnn_off_pure","Primary.Lifestyle","accuracy",0.811111111111111,NA,"avonet",300,2,"categorical"
"gnn_off_pure","Migration","accuracy",0.766666666666667,NA,"avonet",300,2,"ordinal"
"freq","Mass","zRMSE",1.14797196009139,NA,"avonet",300,2,"continuous"
"freq","Beak.Length_Culmen","zRMSE",0.427476455281468,NA,"avonet",300,2,"continuous"
"freq","Tarsus.Length","zRMSE",0.358823973729854,NA,"avonet",300,2,"continuous"
"freq","Wing.Length","zRMSE",0.452848819115767,NA,"avonet",300,2,"continuous"
"freq","Trophic.Level","accuracy",0.788888888888889,NA,"avonet",300,2,"categorical"
"freq","Primary.Lifestyle","accuracy",0.833333333333333,NA,"avonet",300,2,"categorical"
"freq","Migration","accuracy",0.755555555555556,NA,"avonet",300,2,"ordinal"
"bace","Mass","zRMSE",1.41810894655762,NA,"avonet",300,2,"continuous"
"bace","Beak.Length_Culmen","zRMSE",0.61185180544944,NA,"avonet",300,2,"continuous"
"bace","Tarsus.Length","zRMSE",0.452416861416538,NA,"avonet",300,2,"continuous"
"bace","Wing.Length","zRMSE",0.789905242715575,NA,"avonet",300,2,"continuous"
"bace","Trophic.Level","accuracy",0.8,NA,"avonet",300,2,"categorical"
"bace","Primary.Lifestyle","accuracy",0.7,NA,"avonet",300,2,"categorical"
"bace","Migration","accuracy",0.722222222222222,NA,"avonet",300,2,"ordinal"
"floor","Mass","zRMSE",1.97835688888315,NA,"avonet",300,2,"continuous"
"floor","Beak.Length_Culmen","zRMSE",1.07137685623137,NA,"avonet",300,2,"continuous"
"floor","Tarsus.Length","zRMSE",0.998109350565925,NA,"avonet",300,2,"continuous"
"floor","Wing.Length","zRMSE",1.0525036241323,NA,"avonet",300,2,"continuous"
"floor","Trophic.Level","accuracy",0.6,NA,"avonet",300,2,"categorical"
"floor","Primary.Lifestyle","accuracy",0.677777777777778,NA,"avonet",300,2,"categorical"
"floor","Migration","accuracy",0.744444444444444,NA,"avonet",300,2,"ordinal"
"gnn_on","Mass","zRMSE",0.345590555719123,0.933333333333333,"avonet",300,3,"continuous"
"gnn_on","Beak.Length_Culmen","zRMSE",0.29105745412707,1,"avonet",300,3,"continuous"
"gnn_on","Tarsus.Length","zRMSE",0.58481234501228,0.922222222222222,"avonet",300,3,"continuous"
"gnn_on","Wing.Length","zRMSE",0.366379937243094,0.977777777777778,"avonet",300,3,"continuous"
"gnn_on","Trophic.Level","accuracy",0.522222222222222,NA,"avonet",300,3,"categorical"
"gnn_on","Primary.Lifestyle","accuracy",0.8,NA,"avonet",300,3,"categorical"
"gnn_on","Migration","accuracy",0.7,NA,"avonet",300,3,"ordinal"
"gnn_on_full","Mass","zRMSE",0.30784937915481,0.944444444444444,"avonet",300,3,"continuous"
"gnn_on_full","Beak.Length_Culmen","zRMSE",0.27097821319923,1,"avonet",300,3,"continuous"
"gnn_on_full","Tarsus.Length","zRMSE",0.486891238362612,0.933333333333333,"avonet",300,3,"continuous"
"gnn_on_full","Wing.Length","zRMSE",0.338680320695296,0.977777777777778,"avonet",300,3,"continuous"
"gnn_on_full","Trophic.Level","accuracy",0.522222222222222,NA,"avonet",300,3,"categorical"
"gnn_on_full","Primary.Lifestyle","accuracy",0.822222222222222,NA,"avonet",300,3,"categorical"
"gnn_on_full","Migration","accuracy",0.711111111111111,NA,"avonet",300,3,"ordinal"
"gnn_off","Mass","zRMSE",0.401071507973516,0.988888888888889,"avonet",300,3,"continuous"
"gnn_off","Beak.Length_Culmen","zRMSE",0.270978212547278,1,"avonet",300,3,"continuous"
"gnn_off","Tarsus.Length","zRMSE",0.566091628113068,1,"avonet",300,3,"continuous"
"gnn_off","Wing.Length","zRMSE",0.3912400812202,0.966666666666667,"avonet",300,3,"continuous"
"gnn_off","Trophic.Level","accuracy",0.522222222222222,NA,"avonet",300,3,"categorical"
"gnn_off","Primary.Lifestyle","accuracy",0.822222222222222,NA,"avonet",300,3,"categorical"
"gnn_off","Migration","accuracy",0.711111111111111,NA,"avonet",300,3,"ordinal"
"gnn_off_pure","Mass","zRMSE",0.401071507973516,0.988888888888889,"avonet",300,3,"continuous"
"gnn_off_pure","Beak.Length_Culmen","zRMSE",0.270978212547278,1,"avonet",300,3,"continuous"
"gnn_off_pure","Tarsus.Length","zRMSE",0.566091628113068,1,"avonet",300,3,"continuous"
"gnn_off_pure","Wing.Length","zRMSE",0.3912400812202,0.966666666666667,"avonet",300,3,"continuous"
"gnn_off_pure","Trophic.Level","accuracy",0.777777777777778,NA,"avonet",300,3,"categorical"
"gnn_off_pure","Primary.Lifestyle","accuracy",0.822222222222222,NA,"avonet",300,3,"categorical"
"gnn_off_pure","Migration","accuracy",0.711111111111111,NA,"avonet",300,3,"ordinal"
"freq","Mass","zRMSE",0.204406060947665,NA,"avonet",300,3,"continuous"
"freq","Beak.Length_Culmen","zRMSE",0.417739782151436,NA,"avonet",300,3,"continuous"
"freq","Tarsus.Length","zRMSE",0.370680631661768,NA,"avonet",300,3,"continuous"
"freq","Wing.Length","zRMSE",0.32867317081569,NA,"avonet",300,3,"continuous"
"freq","Trophic.Level","accuracy",0.766666666666667,NA,"avonet",300,3,"categorical"
"freq","Primary.Lifestyle","accuracy",0.8,NA,"avonet",300,3,"categorical"
"freq","Migration","accuracy",0.733333333333333,NA,"avonet",300,3,"ordinal"
"bace","Mass","zRMSE",0.336560179046459,NA,"avonet",300,3,"continuous"
"bace","Beak.Length_Culmen","zRMSE",0.399958618566928,NA,"avonet",300,3,"continuous"
"bace","Tarsus.Length","zRMSE",0.442110371849947,NA,"avonet",300,3,"continuous"
"bace","Wing.Length","zRMSE",0.279578845800345,NA,"avonet",300,3,"continuous"
"bace","Trophic.Level","accuracy",0.744444444444444,NA,"avonet",300,3,"categorical"
"bace","Primary.Lifestyle","accuracy",0.722222222222222,NA,"avonet",300,3,"categorical"
"bace","Migration","accuracy",0.722222222222222,NA,"avonet",300,3,"ordinal"
"floor","Mass","zRMSE",0.526001373323289,NA,"avonet",300,3,"continuous"
"floor","Beak.Length_Culmen","zRMSE",0.406228398286436,NA,"avonet",300,3,"continuous"
"floor","Tarsus.Length","zRMSE",0.921753613372887,NA,"avonet",300,3,"continuous"
"floor","Wing.Length","zRMSE",0.666950503676157,NA,"avonet",300,3,"continuous"
"floor","Trophic.Level","accuracy",0.522222222222222,NA,"avonet",300,3,"categorical"
"floor","Primary.Lifestyle","accuracy",0.611111111111111,NA,"avonet",300,3,"categorical"
"floor","Migration","accuracy",0.722222222222222,NA,"avonet",300,3,"ordinal"
"gnn_on","Mass","zRMSE",2.6564167842572,0.911111111111111,"avonet",300,4,"continuous"
"gnn_on","Beak.Length_Culmen","zRMSE",0.538423448550643,0.977777777777778,"avonet",300,4,"continuous"
"gnn_on","Tarsus.Length","zRMSE",1.07388519396933,0.944444444444444,"avonet",300,4,"continuous"
"gnn_on","Wing.Length","zRMSE",0.768871429534736,0.9,"avonet",300,4,"continuous"
"gnn_on","Trophic.Level","accuracy",0.744444444444444,NA,"avonet",300,4,"categorical"
"gnn_on","Primary.Lifestyle","accuracy",0.7,NA,"avonet",300,4,"categorical"
"gnn_on","Migration","accuracy",0.677777777777778,NA,"avonet",300,4,"ordinal"
"gnn_on_full","Mass","zRMSE",2.57879823126609,0.944444444444444,"avonet",300,4,"continuous"
"gnn_on_full","Beak.Length_Culmen","zRMSE",0.527308367476766,0.977777777777778,"avonet",300,4,"continuous"
"gnn_on_full","Tarsus.Length","zRMSE",1.05305037199941,0.955555555555556,"avonet",300,4,"continuous"
"gnn_on_full","Wing.Length","zRMSE",0.650708852368304,0.966666666666667,"avonet",300,4,"continuous"
"gnn_on_full","Trophic.Level","accuracy",0.766666666666667,NA,"avonet",300,4,"categorical"
"gnn_on_full","Primary.Lifestyle","accuracy",0.733333333333333,NA,"avonet",300,4,"categorical"
"gnn_on_full","Migration","accuracy",0.7,NA,"avonet",300,4,"ordinal"
"gnn_off","Mass","zRMSE",2.78842847940062,0.966666666666667,"avonet",300,4,"continuous"
"gnn_off","Beak.Length_Culmen","zRMSE",0.557732923721683,0.955555555555556,"avonet",300,4,"continuous"
"gnn_off","Tarsus.Length","zRMSE",1.05305037334556,0.955555555555556,"avonet",300,4,"continuous"
"gnn_off","Wing.Length","zRMSE",0.972174968227778,0.944444444444444,"avonet",300,4,"continuous"
"gnn_off","Trophic.Level","accuracy",0.688888888888889,NA,"avonet",300,4,"categorical"
"gnn_off","Primary.Lifestyle","accuracy",0.733333333333333,NA,"avonet",300,4,"categorical"
"gnn_off","Migration","accuracy",0.688888888888889,NA,"avonet",300,4,"ordinal"
"gnn_off_pure","Mass","zRMSE",2.78842847940062,0.966666666666667,"avonet",300,4,"continuous"
"gnn_off_pure","Beak.Length_Culmen","zRMSE",0.557732923721683,0.955555555555556,"avonet",300,4,"continuous"
"gnn_off_pure","Tarsus.Length","zRMSE",1.05305037334556,0.955555555555556,"avonet",300,4,"continuous"
"gnn_off_pure","Wing.Length","zRMSE",0.960424229719283,0.955555555555556,"avonet",300,4,"continuous"
"gnn_off_pure","Trophic.Level","accuracy",0.822222222222222,NA,"avonet",300,4,"categorical"
"gnn_off_pure","Primary.Lifestyle","accuracy",0.733333333333333,NA,"avonet",300,4,"categorical"
"gnn_off_pure","Migration","accuracy",0.7,NA,"avonet",300,4,"ordinal"
"freq","Mass","zRMSE",1.97558168216909,NA,"avonet",300,4,"continuous"
"freq","Beak.Length_Culmen","zRMSE",0.626726933407272,NA,"avonet",300,4,"continuous"
"freq","Tarsus.Length","zRMSE",0.836046938339988,NA,"avonet",300,4,"continuous"
"freq","Wing.Length","zRMSE",0.529404429152388,NA,"avonet",300,4,"continuous"
"freq","Trophic.Level","accuracy",0.8,NA,"avonet",300,4,"categorical"
"freq","Primary.Lifestyle","accuracy",0.733333333333333,NA,"avonet",300,4,"categorical"
"freq","Migration","accuracy",0.722222222222222,NA,"avonet",300,4,"ordinal"
"bace","Mass","zRMSE",2.20283809894825,NA,"avonet",300,4,"continuous"
"bace","Beak.Length_Culmen","zRMSE",0.529815892473505,NA,"avonet",300,4,"continuous"
"bace","Tarsus.Length","zRMSE",0.781224364164318,NA,"avonet",300,4,"continuous"
"bace","Wing.Length","zRMSE",0.744868171628948,NA,"avonet",300,4,"continuous"
"bace","Trophic.Level","accuracy",0.755555555555556,NA,"avonet",300,4,"categorical"
"bace","Primary.Lifestyle","accuracy",0.688888888888889,NA,"avonet",300,4,"categorical"
