"job_id","confirm_cell_id","explore_cell_id","rep","family","n_species","phylo_lambda","miss_frac","seed","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","floor_fired","error"
34,4,52,7,"F2",1000,1,0.3,60407,"fixed_1",TRUE,237.396,0.553048883111262,0.581779004202469,-0.0287301210912068,0.25,FALSE,NA
35,0,42,8,"F2",300,1,0.1,60008,"fixed_1",TRUE,65.42,0.515170944012844,0.543865706296042,-0.0286947622831976,0.511842105263158,FALSE,NA
36,1,43,8,"F2",300,1,0.3,60108,"fixed_1",TRUE,63.141,0.604094095946546,0.595779064270547,0.00831503167599867,0.3875,FALSE,NA
37,2,44,8,"F2",300,1,0.5,60208,"fixed_1",TRUE,58.354,0.717595335550622,0.6771720018345,0.0404233337161216,0.25,TRUE,NA
38,3,51,8,"F2",1000,1,0.1,60308,"fixed_1",TRUE,344.64,0.464832403084996,0.487394051107539,-0.0225616480225432,0.4875,FALSE,NA
39,4,52,8,"F2",1000,1,0.3,60408,"fixed_1",TRUE,262.712,0.562713857869045,0.610559318056569,-0.0478454601875233,0.6625,FALSE,NA
40,0,42,9,"F2",300,1,0.1,60009,"fixed_1",TRUE,64.448,0.547468349026149,0.604183534744582,-0.0567151857184326,0.475,FALSE,NA
41,1,43,9,"F2",300,1,0.3,60109,"fixed_1",TRUE,64.425,0.638496545754447,0.657531689121071,-0.0190351433666235,0.355263157894737,FALSE,NA
42,2,44,9,"F2",300,1,0.5,60209,"fixed_1",TRUE,58.383,0.726322143626347,0.741337218398557,-0.0150150747722103,0.1125,FALSE,NA
43,3,51,9,"F2",1000,1,0.1,60309,"fixed_1",TRUE,367.304,0.512405988987792,0.517862562170813,-0.00545657318302162,0.3375,FALSE,NA
44,4,52,9,"F2",1000,1,0.3,60409,"fixed_1",TRUE,240.897,0.495991375389875,0.50993723646996,-0.0139458610800847,0.325,FALSE,NA
45,0,42,10,"F2",300,1,0.1,60010,"fixed_1",TRUE,63.658,0.502283824959905,0.508030808867174,-0.00574698390726891,0.304605263157895,FALSE,NA
46,1,43,10,"F2",300,1,0.3,60110,"fixed_1",TRUE,60.377,0.594875308592976,0.61768844851,-0.0228131399170243,0.5,FALSE,NA
47,2,44,10,"F2",300,1,0.5,60210,"fixed_1",TRUE,57.212,0.652622108171399,0.674689891522079,-0.0220677833506808,0.5,FALSE,NA
48,3,51,10,"F2",1000,1,0.1,60310,"fixed_1",TRUE,331.008,0.532698347724859,0.548578165976109,-0.0158798182512496,0.6125,FALSE,NA
49,4,52,10,"F2",1000,1,0.3,60410,"fixed_1",TRUE,234.005,0.599827686755145,0.599827685426174,1.32897148841238e-09,0,FALSE,NA
50,0,42,11,"F2",300,1,0.1,60011,"fixed_1",TRUE,64.571,0.623216892846725,0.635597372331047,-0.0123804794843211,0,FALSE,NA
51,1,43,11,"F2",300,1,0.3,60111,"fixed_1",TRUE,59.209,0.735118671366237,0.778943686440738,-0.0438250150745013,0.6625,FALSE,NA
52,2,44,11,"F2",300,1,0.5,60211,"fixed_1",TRUE,57.78,0.638855392472197,0.654154735830114,-0.0152993433579174,0.496875,FALSE,NA
53,3,51,11,"F2",1000,1,0.1,60311,"fixed_1",TRUE,355.574,0.630665470767336,0.633455965723118,-0.00279049495578199,0.3875,FALSE,NA
54,4,52,11,"F2",1000,1,0.3,60411,"fixed_1",TRUE,234.067,0.590851160060093,0.607102789568542,-0.0162516295084498,0.5875,FALSE,NA
55,0,42,12,"F2",300,1,0.1,60012,"fixed_1",TRUE,64.29,0.532216306664584,0.562320647570537,-0.0301043409059535,1,FALSE,NA
56,1,43,12,"F2",300,1,0.3,60112,"fixed_1",TRUE,59.49,0.707851739581091,0.699383672331307,0.00846806724978411,0.180555555555556,TRUE,NA
57,2,44,12,"F2",300,1,0.5,60212,"fixed_1",TRUE,58.016,0.689228816389267,0.682377568482872,0.0068512479063958,0.6625,FALSE,NA
58,3,51,12,"F2",1000,1,0.1,60312,"fixed_1",TRUE,343.509,0.554077995710441,0.575269303990351,-0.0211913082799094,0.449342105263158,FALSE,NA
59,4,52,12,"F2",1000,1,0.3,60412,"fixed_1",TRUE,234.774,0.539077123025046,0.547299547005771,-0.0082224239807257,0.354605263157895,FALSE,NA
60,0,42,13,"F2",300,1,0.1,60013,"fixed_1",TRUE,66.741,0.586972509940589,0.663516534155128,-0.0765440242145392,0.698684210526316,FALSE,NA
61,1,43,13,"F2",300,1,0.3,60113,"fixed_1",TRUE,59.516,0.728402949599953,0.740653791329491,-0.0122508417295374,0,FALSE,NA
62,2,44,13,"F2",300,1,0.5,60213,"fixed_1",TRUE,57.438,0.693196175386956,0.700988033963735,-0.00779185857677978,0.25,FALSE,NA
63,3,51,13,"F2",1000,1,0.1,60313,"fixed_1",TRUE,397.251,0.521541164505423,0.545761807139019,-0.0242206426335952,0.6375,FALSE,NA
64,4,52,13,"F2",1000,1,0.3,60413,"fixed_1",TRUE,235.721,0.597217630417811,0.59936081704658,-0.00214318662876889,0.4,FALSE,NA
65,0,42,14,"F2",300,1,0.1,60014,"fixed_1",TRUE,66.464,0.49918405834355,0.528186553465917,-0.0290024951223663,0.3875,FALSE,NA
66,1,43,14,"F2",300,1,0.3,60114,"fixed_1",TRUE,60.104,0.552792114848596,0.584260879121508,-0.0314687642729123,0.37828947368421,FALSE,NA
67,2,44,14,"F2",300,1,0.5,60214,"fixed_1",TRUE,58.342,0.601423277061049,0.626938019202825,-0.0255147421417761,0.375,FALSE,NA
68,3,51,14,"F2",1000,1,0.1,60314,"fixed_1",TRUE,336.042,0.521935155280891,0.544556256059697,-0.0226211007788066,0.5125,FALSE,NA
69,4,52,14,"F2",1000,1,0.3,60414,"fixed_1",TRUE,259.475,0.603082843288769,0.608141308036191,-0.00505846474742189,0.531944444444444,FALSE,NA
70,0,42,15,"F2",300,1,0.1,60015,"fixed_1",TRUE,63.29,0.550502374011963,0.581334068758595,-0.0308316947466313,0.3375,FALSE,NA
71,1,43,15,"F2",300,1,0.3,60115,"fixed_1",TRUE,61.219,0.50757398456917,0.507573981218716,3.3504539143081e-09,0,FALSE,NA
72,2,44,15,"F2",300,1,0.5,60215,"fixed_1",TRUE,59.075,0.738322984094904,0.778532844199406,-0.0402098601045028,0.225,TRUE,NA
73,3,51,15,"F2",1000,1,0.1,60315,"fixed_1",TRUE,369.975,0.53385511681514,0.556780757742208,-0.0229256409270681,0.242763157894737,FALSE,NA
74,4,52,15,"F2",1000,1,0.3,60415,"fixed_1",TRUE,237.531,0.615136761263799,0.622099277312915,-0.00696251604911569,0.125,FALSE,NA
75,0,42,16,"F2",300,1,0.1,60016,"fixed_1",TRUE,64.678,0.538213602700039,0.563220304759344,-0.0250067020593053,0.4875,FALSE,NA
76,1,43,16,"F2",300,1,0.3,60116,"fixed_1",TRUE,58.623,0.643264658147373,0.691013186648958,-0.0477485285015843,0.6875,FALSE,NA
77,2,44,16,"F2",300,1,0.5,60216,"fixed_1",TRUE,58.458,0.721074145884099,0.764705996859639,-0.0436318509755401,0.222222222222222,TRUE,NA
78,3,51,16,"F2",1000,1,0.1,60316,"fixed_1",TRUE,357.685,0.595875698927289,0.593301909117956,0.00257378980933232,0.25,FALSE,NA
79,4,52,16,"F2",1000,1,0.3,60416,"fixed_1",TRUE,232.141,0.594565498419573,0.60311905170319,-0.00855355328361729,0.460526315789474,FALSE,NA
80,0,42,17,"F2",300,1,0.1,60017,"fixed_1",TRUE,61.738,0.438623595000594,0.459022893419467,-0.0203992984188728,0.341447368421053,FALSE,NA
81,1,43,17,"F2",300,1,0.3,60117,"fixed_1",TRUE,59.944,0.538928408056184,0.551646684289184,-0.0127182762329994,0.4625,FALSE,NA
82,2,44,17,"F2",300,1,0.5,60217,"fixed_1",TRUE,58.663,0.639245187480903,0.552381163638203,0.0868640238427006,0,TRUE,NA
83,3,51,17,"F2",1000,1,0.1,60317,"fixed_1",TRUE,334.517,0.483519695232223,0.482834623780996,0.000685071451227426,0.449342105263158,FALSE,NA
84,4,52,17,"F2",1000,1,0.3,60417,"fixed_1",TRUE,231.909,0.529378136672345,0.542906791417936,-0.0135286547455905,0.5,FALSE,NA
85,0,42,18,"F2",300,1,0.1,60018,"fixed_1",TRUE,63.959,0.527317273873212,0.568578925170701,-0.0412616512974884,0.386842105263158,FALSE,NA
86,1,43,18,"F2",300,1,0.3,60118,"fixed_1",TRUE,59.658,0.609724126770252,0.622077497403345,-0.0123533706330929,0.454166666666667,FALSE,NA
87,2,44,18,"F2",300,1,0.5,60218,"fixed_1",TRUE,56.918,0.788873102277398,0.808437357112176,-0.0195642548347776,0.25,FALSE,NA
88,3,51,18,"F2",1000,1,0.1,60318,"fixed_1",TRUE,334.337,0.446930559251702,0.470594360832694,-0.023663801580992,0.5875,FALSE,NA
89,4,52,18,"F2",1000,1,0.3,60418,"fixed_1",TRUE,229.248,0.631358360752476,0.649057768551806,-0.01769940779933,0.075,FALSE,NA
90,0,42,19,"F2",300,1,0.1,60019,"fixed_1",TRUE,63.802,0.669848766820614,0.686581376006752,-0.0167326091861376,0.4125,TRUE,NA
91,1,43,19,"F2",300,1,0.3,60119,"fixed_1",TRUE,59.601,0.510790132513975,0.518850365664692,-0.00806023315071658,0.56578947368421,FALSE,NA
92,2,44,19,"F2",300,1,0.5,60219,"fixed_1",TRUE,58.216,0.668467158371135,0.668467159117307,-7.46172013066371e-10,0,FALSE,NA
93,3,51,19,"F2",1000,1,0.1,60319,"fixed_1",TRUE,332.59,0.462465200504929,0.498104066074145,-0.0356388655692161,0.5,FALSE,NA
94,4,52,19,"F2",1000,1,0.3,60419,"fixed_1",TRUE,260.324,0.537230555580025,0.541386840188053,-0.00415628460802775,0.0875,FALSE,NA
95,0,42,20,"F2",300,1,0.1,60020,"fixed_1",TRUE,65.897,0.622915901127659,0.697463882633139,-0.0745479815054798,0.763157894736842,FALSE,NA
96,1,43,20,"F2",300,1,0.3,60120,"fixed_1",TRUE,59.89,0.685414287703407,0.723444124266206,-0.0380298365627986,0.125,FALSE,NA
97,2,44,20,"F2",300,1,0.5,60220,"fixed_1",TRUE,56.983,0.651238973503813,0.615632661991697,0.0356063115121157,0.5,FALSE,NA
98,3,51,20,"F2",1000,1,0.1,60320,"fixed_1",TRUE,368.749,0.441135220764144,0.439758186889755,0.00137703387438926,0.275,FALSE,NA
99,4,52,20,"F2",1000,1,0.3,60420,"fixed_1",TRUE,235.148,0.528341436724101,0.548543641351775,-0.0202022046276736,0.4875,FALSE,NA
100,0,42,21,"F2",300,1,0.1,60021,"fixed_1",TRUE,64.872,0.588339446804759,0.627503363900036,-0.0391639170952768,0.523529411764706,FALSE,NA
101,1,43,21,"F2",300,1,0.3,60121,"fixed_1",TRUE,61.616,0.761717579105362,0.800222683468867,-0.038505104363505,0.5875,TRUE,NA
102,2,44,21,"F2",300,1,0.5,60221,"fixed_1",TRUE,58.491,0.651574021179018,0.648205011076924,0.00336901010209445,0.3125,FALSE,NA
103,3,51,21,"F2",1000,1,0.1,60321,"fixed_1",TRUE,340.101,0.541775849853807,0.554898648225419,-0.0131227983716118,0.670833333333333,FALSE,NA
104,4,52,21,"F2",1000,1,0.3,60421,"fixed_1",TRUE,238.748,0.610894580351038,0.611290390854139,-0.000395810503100891,0.25,FALSE,NA
105,0,42,22,"F2",300,1,0.1,60022,"fixed_1",TRUE,62.864,0.631780547868244,0.646410156099419,-0.0146296082311745,0.225,FALSE,NA
106,1,43,22,"F2",300,1,0.3,60122,"fixed_1",TRUE,59.856,0.651495884708269,0.684890763862793,-0.0333948791545245,0.4875,FALSE,NA
107,2,44,22,"F2",300,1,0.5,60222,"fixed_1",TRUE,57.142,0.646063927516607,0.646063925501128,2.01547833977855e-09,0,FALSE,NA
108,3,51,22,"F2",1000,1,0.1,60322,"fixed_1",TRUE,334.242,0.550778294335783,0.579903546555691,-0.0291252522199087,0.566447368421053,FALSE,NA
109,4,52,22,"F2",1000,1,0.3,60422,"fixed_1",TRUE,253.981,0.548090068692282,0.55267427323284,-0.00458420454055719,0.2125,FALSE,NA
110,0,42,23,"F2",300,1,0.1,60023,"fixed_1",TRUE,64.16,0.476372274050608,0.488685059034422,-0.012312784983814,0.4375,FALSE,NA
111,1,43,23,"F2",300,1,0.3,60123,"fixed_1",TRUE,59.431,0.681899520537652,0.637246434061712,0.0446530864759396,0.2375,TRUE,NA
112,2,44,23,"F2",300,1,0.5,60223,"fixed_1",TRUE,58.146,0.615318082737123,0.647070191374269,-0.0317521086371463,0,TRUE,NA
113,3,51,23,"F2",1000,1,0.1,60323,"fixed_1",TRUE,358.85,0.703110111847609,0.719225576851467,-0.0161154650038583,0.1,FALSE,NA
114,4,52,23,"F2",1000,1,0.3,60423,"fixed_1",TRUE,256.796,0.530872652381149,0.543229721651023,-0.0123570692698738,0,FALSE,NA
115,0,42,24,"F2",300,1,0.1,60024,"fixed_1",TRUE,64.216,0.649028982455557,0.685570439920506,-0.0365414574649491,0.5,FALSE,NA
116,1,43,24,"F2",300,1,0.3,60124,"fixed_1",TRUE,58.698,0.525088674514087,0.518311111569535,0.00677756294455134,0.197368421052632,FALSE,NA
117,2,44,24,"F2",300,1,0.5,60224,"fixed_1",TRUE,57.94,0.668637905056862,0.668090468407279,0.000547436649582789,0.2875,FALSE,NA
118,3,51,24,"F2",1000,1,0.1,60324,"fixed_1",TRUE,375.209,0.540809084723047,0.552657770518111,-0.0118486857950638,0.276315789473684,FALSE,NA
119,4,52,24,"F2",1000,1,0.3,60424,"fixed_1",TRUE,259.886,0.527576914763843,0.538966398296148,-0.0113894835323044,0.5,FALSE,NA
120,0,42,25,"F2",300,1,0.1,60025,"fixed_1",TRUE,63.48,0.586660405183124,0.57394320390674,0.0127172012763841,0.553405572755418,FALSE,NA
121,1,43,25,"F2",300,1,0.3,60125,"fixed_1",TRUE,60.08,0.587379947111076,0.630240792403729,-0.0428608452926531,0.473684210526316,FALSE,NA
122,2,44,25,"F2",300,1,0.5,60225,"fixed_1",TRUE,57.527,0.764353792212343,0.78736545983042,-0.0230116676180773,0.25,TRUE,NA
123,3,51,25,"F2",1000,1,0.1,60325,"fixed_1",TRUE,362.093,0.538061218869448,0.550967717418662,-0.0129064985492139,0.225,FALSE,NA
124,4,52,25,"F2",1000,1,0.3,60425,"fixed_1",TRUE,258.393,0.552947820206823,0.563238474690067,-0.0102906544832434,0.1125,FALSE,NA
125,0,42,26,"F2",300,1,0.1,60026,"fixed_1",TRUE,64.889,0.540579849872077,0.603794612100144,-0.063214762228067,0.5,FALSE,NA
126,1,43,26,"F2",300,1,0.3,60126,"fixed_1",TRUE,59.532,0.594182559028804,0.649505273465523,-0.0553227144367193,0.25,FALSE,NA
127,2,44,26,"F2",300,1,0.5,60226,"fixed_1",TRUE,58.789,0.730627973565261,0.726338821594705,0.00428915197055535,0.486111111111111,FALSE,NA
128,3,51,26,"F2",1000,1,0.1,60326,"fixed_1",TRUE,383.498,0.541059286789769,0.552797448600023,-0.011738161810254,0.475,FALSE,NA
129,4,52,26,"F2",1000,1,0.3,60426,"fixed_1",TRUE,233.058,0.495965317348963,0.496872622744114,-0.00090730539515077,0.355921052631579,FALSE,NA
130,0,42,27,"F2",300,1,0.1,60027,"fixed_1",TRUE,64.594,0.581635403082143,0.606490251385312,-0.0248548483031691,0.519078947368421,FALSE,NA
131,1,43,27,"F2",300,1,0.3,60127,"fixed_1",TRUE,62.027,0.657586454347375,0.733736456359528,-0.0761500020121537,0.575851393188854,FALSE,NA
132,2,44,27,"F2",300,1,0.5,60227,"fixed_1",TRUE,59.162,0.651180314268773,0.672060200049968,-0.0208798857811955,0.859868421052632,FALSE,NA
133,3,51,27,"F2",1000,1,0.1,60327,"fixed_1",TRUE,369.351,0.570746552404995,0.590625466958366,-0.0198789145533709,0.7375,FALSE,NA
134,4,52,27,"F2",1000,1,0.3,60427,"fixed_1",TRUE,246.661,0.497068194577491,0.499026037486503,-0.00195784290901252,0.254605263157895,FALSE,NA
135,0,42,28,"F2",300,1,0.1,60028,"fixed_1",TRUE,63.976,0.583100057221136,0.622244262079723,-0.0391442048585865,0.45,FALSE,NA
136,1,43,28,"F2",300,1,0.3,60128,"fixed_1",TRUE,60.064,0.562124642472998,0.587249401199883,-0.0251247587268849,0.425,FALSE,NA
137,2,44,28,"F2",300,1,0.5,60228,"fixed_1",TRUE,61.232,0.800047672543119,0.794086069395801,0.00596160314731786,0.368421052631579,FALSE,NA
138,3,51,28,"F2",1000,1,0.1,60328,"fixed_1",TRUE,337.663,0.528980985809683,0.553080722792149,-0.024099736982466,0.538815789473684,FALSE,NA
139,4,52,28,"F2",1000,1,0.3,60428,"fixed_1",TRUE,241.924,0.601756650748189,0.627021057103837,-0.0252644063556476,0.3125,FALSE,NA
140,0,42,29,"F2",300,1,0.1,60029,"fixed_1",TRUE,62.73,0.62588693579893,0.62776089915066,-0.0018739633517294,0.5,FALSE,NA
141,1,43,29,"F2",300,1,0.3,60129,"fixed_1",TRUE,59.611,0.760788978740917,0.791108843311866,-0.0303198645709495,0.6625,FALSE,NA
142,2,44,29,"F2",300,1,0.5,60229,"fixed_1",TRUE,58.353,0.53458818138071,0.538238294699678,-0.00365011331896792,0.3625,FALSE,NA
143,3,51,29,"F2",1000,1,0.1,60329,"fixed_1",TRUE,338.66,0.563906018688504,0.5963447782505,-0.0324387595619963,0.713888888888889,FALSE,NA
144,4,52,29,"F2",1000,1,0.3,60429,"fixed_1",TRUE,244.267,0.658714101452067,0.671228170131122,-0.0125140686790551,0.35,FALSE,NA
145,0,42,30,"F2",300,1,0.1,60030,"fixed_1",TRUE,62.878,0.610546789641981,0.666317330383764,-0.055770540741783,0.45,FALSE,NA
146,1,43,30,"F2",300,1,0.3,60130,"fixed_1",TRUE,61.826,0.603400510166286,0.595560651816191,0.00783985835009571,0.472222222222222,FALSE,NA
147,2,44,30,"F2",300,1,0.5,60230,"fixed_1",TRUE,58.981,0.686565255218528,0.698234949054113,-0.0116696938355846,0.559868421052632,FALSE,NA
148,3,51,30,"F2",1000,1,0.1,60330,"fixed_1",TRUE,370.797,0.489886435600962,0.512760978755516,-0.0228745431545541,0.381578947368421,FALSE,NA
149,4,52,30,"F2",1000,1,0.3,60430,"fixed_1",TRUE,252.96,0.509609143275392,0.518918533193455,-0.00930938991806352,0.3125,FALSE,NA
150,0,42,31,"F2",300,1,0.1,60031,"fixed_1",TRUE,64.919,0.587770566372037,0.55452597576418,0.0332445906078566,0.194444444444444,FALSE,NA
151,1,43,31,"F2",300,1,0.3,60131,"fixed_1",TRUE,60.461,0.688557815196664,0.706407847395772,-0.0178500321991081,0.444444444444444,FALSE,NA
152,2,44,31,"F2",300,1,0.5,60231,"fixed_1",TRUE,58.824,0.655394558051425,0.676881290829286,-0.0214867327778614,0.552485380116959,FALSE,NA
153,3,51,31,"F2",1000,1,0.1,60331,"fixed_1",TRUE,378.572,0.483411901750207,0.499823703657352,-0.0164118019071449,0.5,FALSE,NA
