"confirm_cell_id","explore_cell_id","family","n_species","phylo_lambda","miss_frac","n_rep","n_ok","n_fail","mean_delta","sd_delta","mcse","z_ratio","rel_improve","mean_r_cal_gnn","frac_gate_open","g4_confirm_pass","explore_mean_delta","explore_mcse","explore_z_ratio","explore_rel_improve","explore_g4_explore_pass","delta_shift","z_shift","stable_sign"
0,42,"F2",300,1,0.1,60,60,0,-0.0283394545239916,0.0250063274529404,0.00322830299250158,8.7784370270746,0.0479516027976524,0.450386607859518,0.983333333333333,TRUE,-0.0308084472788251,0.00449575806674293,6.85278140448183,0.0507642700340068,TRUE,0.00246899275483347,1.92565562259277,TRUE
1,43,"F2",300,1,0.3,60,60,0,-0.0184892937115365,0.0318037689993247,0.00410584892270041,4.50315977514734,0.0290668460275681,0.404694179516161,0.916666666666667,TRUE,-0.0165108724166163,0.00354571290199866,4.6565734093444,0.0257458068897276,TRUE,-0.00197842129492021,-0.153413634197062,TRUE
2,44,"F2",300,1,0.5,60,60,0,-0.00882748342954519,0.028571842817041,0.00368860904669519,2.39317404414387,0.0131770912190467,0.297050528179108,0.833333333333333,FALSE,-0.0201836775005343,0.0044898945403609,4.49535669916022,0.0302883092706904,TRUE,0.0113561940709891,-2.10218265501635,TRUE
3,51,"F2",1000,1,0.1,60,60,0,-0.0179697913812903,0.0103592858133707,0.00133737804779292,13.4365831792633,0.0324513988614154,0.466108566964798,1,TRUE,-0.0175172419213671,0.00149222804708741,11.7389845041164,0.031710316761293,TRUE,-0.000452549459923231,1.69759867514688,TRUE
4,52,"F2",1000,1,0.3,60,60,0,-0.0105180617075015,0.0102948983713387,0.00132906566476976,7.91387663251655,0.0183546669343771,0.326330140608875,0.916666666666667,FALSE,-0.0137240893206754,0.00153278842171185,8.95367496666503,0.0237222243501474,TRUE,0.00320602761317393,-1.03979833414848,TRUE
