"job_id","cell_id","rep","family","n_species","phylo_lambda","miss_frac","seed","lambda_mode","fit_ok","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","floor_fired"
57,57,1,"F1",300,0.2,0.5,15701,"bayes",TRUE,0.95501280745321,0.955346945958794,-0.00033413850558428,0,TRUE
58,58,1,"F2",300,0.2,0.5,15801,"bayes",TRUE,0.902346772299858,0.896742814543054,0.00560395775680411,0,TRUE
59,59,1,"F3",300,0.2,0.5,15901,"bayes",TRUE,0.752888430261538,0.743835016714063,0.00905341354747535,0,TRUE
60,60,1,"F1",1000,0.2,0.5,16001,"bayes",TRUE,0.926342870172999,0.933393100164899,-0.0070502299919003,0.25,TRUE
61,61,1,"F2",1000,0.2,0.5,16101,"bayes",TRUE,0.931353350328343,0.970170026251483,-0.0388166759231403,1,FALSE
62,62,1,"F3",1000,0.2,0.5,16201,"bayes",TRUE,0.718430517211516,0.727960850513496,-0.00953033330198072,0.116666666666667,TRUE
63,63,1,"F1",100,0.5,0.5,16301,"bayes",TRUE,0.739473660958557,0.747651544733628,-0.00817788377507134,0.475,FALSE
64,64,1,"F2",100,0.5,0.5,16401,"bayes",TRUE,1.03435113048278,0.955164869012021,0.0791862614707604,0.25,TRUE
65,65,1,"F3",100,0.5,0.5,16501,"bayes",TRUE,0.79880304303955,0.801119531581484,-0.00231648854193345,0,TRUE
66,66,1,"F1",300,0.5,0.5,16601,"bayes",TRUE,0.728438466658099,0.735681548951974,-0.00724308229387571,0.197368421052632,FALSE
67,67,1,"F2",300,0.5,0.5,16701,"bayes",TRUE,0.724052210305335,0.731623197985584,-0.00757098768024878,0.425,FALSE
68,68,1,"F3",300,0.5,0.5,16801,"bayes",TRUE,0.57120405076959,0.566465531861047,0.00473851890854293,0.0925925925925926,FALSE
69,69,1,"F1",1000,0.5,0.5,16901,"bayes",TRUE,0.879117857728437,0.879918823473812,-0.000800965745374471,0.1125,FALSE
70,70,1,"F2",1000,0.5,0.5,17001,"bayes",TRUE,0.829497122142252,0.8336870408527,-0.00418991871044783,0.25,FALSE
71,71,1,"F3",1000,0.5,0.5,17101,"bayes",TRUE,0.619819418577676,0.620590883344154,-0.000771464766478047,0.075,FALSE
81,0,2,"F1",100,0.2,0.1,10002,"bayes",TRUE,0.78742623482773,0.764370556805176,0.0230556780225537,0,TRUE
82,1,2,"F2",100,0.2,0.1,10102,"bayes",TRUE,0.604726394102765,0.642303299066614,-0.0375769049638486,0.5,FALSE
83,2,2,"F3",100,0.2,0.1,10202,"bayes",TRUE,0.776043175668579,0.667400570656395,0.108642605012184,0.166666666666667,TRUE
84,3,2,"F1",300,0.2,0.1,10302,"bayes",TRUE,1.06572444226017,1.06953264784723,-0.00380820558706318,0,TRUE
85,4,2,"F2",300,0.2,0.1,10402,"bayes",TRUE,0.889301861786575,1.00387958036894,-0.114577718582366,0.8,FALSE
86,5,2,"F3",300,0.2,0.1,10502,"bayes",TRUE,0.764366304416949,0.75008165641044,0.0142846480065089,0.0583333333333333,TRUE
87,6,2,"F1",1000,0.2,0.1,10602,"bayes",TRUE,0.911421377340175,0.911421378034529,-6.94353796681924e-10,0,FALSE
88,7,2,"F2",1000,0.2,0.1,10702,"bayes",TRUE,0.960864184071108,1.00014889781266,-0.0392847137415548,0.75,FALSE
89,8,2,"F3",1000,0.2,0.1,10802,"bayes",TRUE,0.764128429226113,0.77040771564719,-0.00627928642107678,0.166666666666667,FALSE
90,9,2,"F1",100,0.5,0.1,10902,"bayes",TRUE,0.794151136209889,0.786098402676465,0.00805273353342395,0.175,FALSE
91,10,2,"F2",100,0.5,0.1,11002,"bayes",TRUE,0.753311227824072,0.822067267130062,-0.0687560393059903,0.5,TRUE
92,11,2,"F3",100,0.5,0.1,11102,"bayes",TRUE,0.676527101941655,0.573685173661694,0.102841928279961,0.15,TRUE
93,12,2,"F1",300,0.5,0.1,11202,"bayes",TRUE,0.88856534204662,0.913546817595195,-0.024981475548574,0.25,FALSE
94,13,2,"F2",300,0.5,0.1,11302,"bayes",TRUE,0.826781611628316,0.870556955908759,-0.0437753442804426,0.475,FALSE
95,14,2,"F3",300,0.5,0.1,11402,"bayes",TRUE,0.614607664441632,0.535247039808377,0.0793606246332552,0.0166666666666667,TRUE
96,15,2,"F1",1000,0.5,0.1,11502,"bayes",TRUE,0.843294104188223,0.848182827030318,-0.00488872284209563,0.2375,FALSE
97,16,2,"F2",1000,0.5,0.1,11602,"bayes",TRUE,0.87965153645487,0.884077280215079,-0.00442574376020888,0.25,FALSE
98,17,2,"F3",1000,0.5,0.1,11702,"bayes",TRUE,0.690456550392101,0.707904042048413,-0.0174474916563119,0.166666666666667,FALSE
108,27,2,"F1",100,0.2,0.3,12702,"bayes",TRUE,0.880052088450573,0.907843604569263,-0.0277915161186894,0.25,TRUE
109,28,2,"F2",100,0.2,0.3,12802,"bayes",TRUE,0.978881085088573,1.01274715972797,-0.0338660746393936,0,TRUE
110,29,2,"F3",100,0.2,0.3,12902,"bayes",TRUE,0.596760866061251,0.569663983420319,0.0270968826409327,0,TRUE
111,30,2,"F1",300,0.2,0.3,13002,"bayes",TRUE,1.08445471066928,1.10125975080469,-0.016805040135417,0.4875,TRUE
112,31,2,"F2",300,0.2,0.3,13102,"bayes",TRUE,0.921165537533289,0.92135901808271,-0.000193480549421143,0,TRUE
113,32,2,"F3",300,0.2,0.3,13202,"bayes",TRUE,0.80160995983753,0.793721819992866,0.00788813984466419,0,TRUE
114,33,2,"F1",1000,0.2,0.3,13302,"bayes",TRUE,0.958917987591194,0.948983475247237,0.00993451234395759,0.3375,TRUE
115,34,2,"F2",1000,0.2,0.3,13402,"bayes",TRUE,0.916940375222989,0.924581877253065,-0.00764150203007641,0.4625,FALSE
116,35,2,"F3",1000,0.2,0.3,13502,"bayes",TRUE,0.699369350342841,0.699369350202792,1.4004908344134e-10,0,FALSE
117,36,2,"F1",100,0.5,0.3,13602,"bayes",TRUE,0.846398311916466,0.809434764853948,0.0369635470625183,0,TRUE
118,37,2,"F2",100,0.5,0.3,13702,"bayes",TRUE,0.63336270104253,0.659005259765474,-0.0256425587229437,0.25,TRUE
119,38,2,"F3",100,0.5,0.3,13802,"bayes",TRUE,0.804864334268938,0.631674374332235,0.173189959936703,0.0882352941176471,TRUE
120,39,2,"F1",300,0.5,0.3,13902,"bayes",TRUE,0.9545432763734,0.961116526405714,-0.00657325003231357,0.25,FALSE
121,40,2,"F2",300,0.5,0.3,14002,"bayes",TRUE,0.79702571153482,0.810947086537784,-0.0139213750029635,0.5,TRUE
122,41,2,"F3",300,0.5,0.3,14102,"bayes",TRUE,0.69047346161414,0.690473462561715,-9.47575240495269e-10,0,FALSE
123,42,2,"F1",1000,0.5,0.3,14202,"bayes",TRUE,0.840107808718837,0.840107807959574,7.59262874794331e-10,0,FALSE
124,43,2,"F2",1000,0.5,0.3,14302,"bayes",TRUE,0.925650070630467,0.936669689504147,-0.0110196188736795,0.25,FALSE
125,44,2,"F3",1000,0.5,0.3,14402,"bayes",TRUE,0.576637830857457,0.576169984652474,0.00046784620498308,0.316666666666667,FALSE
135,54,2,"F1",100,0.2,0.5,15402,"bayes",TRUE,0.896641356173327,0.89408133942274,0.00256001675058737,0.25,TRUE
136,55,2,"F2",100,0.2,0.5,15502,"bayes",TRUE,1.08657374758614,1.08492926821743,0.0016444793687107,0.2125,TRUE
137,56,2,"F3",100,0.2,0.5,15602,"bayes",TRUE,0.486983511680017,0.518345987787643,-0.031362476107626,0,TRUE
138,57,2,"F1",300,0.2,0.5,15702,"bayes",TRUE,0.928926873008848,0.955596744674508,-0.0266698716656593,0.453947368421053,FALSE
139,58,2,"F2",300,0.2,0.5,15802,"bayes",TRUE,0.881294657198073,0.929838805011087,-0.0485441478130147,0.75,TRUE
140,59,2,"F3",300,0.2,0.5,15902,"bayes",TRUE,0.715328016304599,0.780289691623242,-0.0649616753186434,0.166666666666667,TRUE
141,60,2,"F1",1000,0.2,0.5,16002,"bayes",TRUE,0.998779717038935,1.00815400815088,-0.00937429111194077,0.5,TRUE
142,61,2,"F2",1000,0.2,0.5,16102,"bayes",TRUE,1.0618780585637,1.09586379564373,-0.0339857370800347,0.5,FALSE
143,62,2,"F3",1000,0.2,0.5,16202,"bayes",TRUE,0.753232663888515,0.777329563484451,-0.024096899595936,0.157894736842105,TRUE
144,63,2,"F1",100,0.5,0.5,16302,"bayes",TRUE,0.913465725285763,0.859102890140464,0.0543628351452994,0.25,TRUE
145,64,2,"F2",100,0.5,0.5,16402,"bayes",TRUE,1.00199020823139,1.03777166355825,-0.035781455326851,0.5,TRUE
146,65,2,"F3",100,0.5,0.5,16502,"bayes",TRUE,0.635207763307846,0.597878210223511,0.0373295530843354,0,TRUE
147,66,2,"F1",300,0.5,0.5,16602,"bayes",TRUE,0.879479535931297,0.879479536680808,-7.49511785969048e-10,0,FALSE
148,67,2,"F2",300,0.5,0.5,16702,"bayes",TRUE,0.857382432584465,0.851166780764533,0.00621565181993211,0.25,TRUE
149,68,2,"F3",300,0.5,0.5,16802,"bayes",TRUE,0.63094136852479,0.653165050630777,-0.0222236821059871,0.0916666666666667,TRUE
150,69,2,"F1",1000,0.5,0.5,16902,"bayes",TRUE,0.847944650264008,0.843688955756439,0.00425569450756913,0.25,FALSE
151,70,2,"F2",1000,0.5,0.5,17002,"bayes",TRUE,0.940933104981941,0.94093310606003,-1.07808961757883e-09,0,FALSE
152,71,2,"F3",1000,0.5,0.5,17102,"bayes",TRUE,0.659488072467003,0.642749539886254,0.0167385325807485,0.0833333333333333,TRUE
162,0,3,"F1",100,0.2,0.1,10003,"bayes",TRUE,0.754801716973661,0.759370971457585,-0.00456925448392442,0,TRUE
163,1,3,"F2",100,0.2,0.1,10103,"bayes",TRUE,0.79171781177812,0.81667185728466,-0.0249540455065395,0.25,TRUE
164,2,3,"F3",100,0.2,0.1,10203,"bayes",TRUE,0.759065659049707,0.759077839312467,-1.21802627599532e-05,0.166666666666667,TRUE
165,3,3,"F1",300,0.2,0.1,10303,"bayes",TRUE,0.878971580270137,0.881217592397981,-0.00224601212784403,0.25,FALSE
166,4,3,"F2",300,0.2,0.1,10403,"bayes",TRUE,0.946927881832019,1.01290397203601,-0.065976090203995,0.910714285714286,FALSE
167,5,3,"F3",300,0.2,0.1,10503,"bayes",TRUE,0.702719387207588,0.704747784557742,-0.00202839735015425,0,TRUE
168,6,3,"F1",1000,0.2,0.1,10603,"bayes",TRUE,0.967506073515681,0.971540728661476,-0.00403465514579482,0.25,FALSE
169,7,3,"F2",1000,0.2,0.1,10703,"bayes",TRUE,0.903634650573629,0.941777483650614,-0.0381428330769855,0.75,FALSE
170,8,3,"F3",1000,0.2,0.1,10803,"bayes",TRUE,0.671205833491301,0.670579917621813,0.00062591586948757,0.166666666666667,TRUE
171,9,3,"F1",100,0.5,0.1,10903,"bayes",TRUE,0.844838252200191,0.845703343788237,-0.000865091588046374,0.75,FALSE
172,10,3,"F2",100,0.5,0.1,11003,"bayes",TRUE,0.842287546645058,0.84698876438959,-0.00470121774453203,0.25,TRUE
173,11,3,"F3",100,0.5,0.1,11103,"bayes",TRUE,0.816786031420139,0.816786031133506,2.86632606538717e-10,0,FALSE
174,12,3,"F1",300,0.5,0.1,11203,"bayes",TRUE,0.964874416145195,0.973469709349192,-0.0085952932039961,0.25,FALSE
175,13,3,"F2",300,0.5,0.1,11303,"bayes",TRUE,0.885495469819702,0.933079195298188,-0.0475837254784859,0.725,FALSE
176,14,3,"F3",300,0.5,0.1,11403,"bayes",TRUE,0.643519470393217,0.635454953459604,0.00806451693361299,0,TRUE
177,15,3,"F1",1000,0.5,0.1,11503,"bayes",TRUE,0.834854871175926,0.828235288280957,0.00661958289496944,0.1375,FALSE
178,16,3,"F2",1000,0.5,0.1,11603,"bayes",TRUE,0.825700781511983,0.87757130662094,-0.0518705251089577,0.5,FALSE
179,17,3,"F3",1000,0.5,0.1,11703,"bayes",TRUE,0.736053532466519,0.677542894823152,0.0585106376433666,0,TRUE
189,27,3,"F1",100,0.2,0.3,12703,"bayes",TRUE,0.982195372053936,0.977120863342114,0.0050745087118218,0.25,TRUE
190,28,3,"F2",100,0.2,0.3,12803,"bayes",TRUE,0.913328156771539,0.897724086110462,0.0156040706610772,0,TRUE
191,29,3,"F3",100,0.2,0.3,12903,"bayes",TRUE,0.902873917564858,0.97662944575587,-0.0737555281910128,0,TRUE
192,30,3,"F1",300,0.2,0.3,13003,"bayes",TRUE,0.934479520708944,0.934716698071761,-0.000237177362817032,0.225,TRUE
193,31,3,"F2",300,0.2,0.3,13103,"bayes",TRUE,0.882531263928403,0.946802375434185,-0.0642711115057822,0.75,TRUE
194,32,3,"F3",300,0.2,0.3,13203,"bayes",TRUE,0.651479789519729,0.74793794828088,-0.0964581587611516,0.166666666666667,TRUE
195,33,3,"F1",1000,0.2,0.3,13303,"bayes",TRUE,0.985280741253213,0.987219457011248,-0.0019387157580355,0.1625,FALSE
196,34,3,"F2",1000,0.2,0.3,13403,"bayes",TRUE,0.926545708860294,0.957060888925688,-0.0305151800653947,0.5,FALSE
197,35,3,"F3",1000,0.2,0.3,13503,"bayes",TRUE,0.709262218966766,0.724722504784903,-0.0154602858181366,0.175,TRUE
198,36,3,"F1",100,0.5,0.3,13603,"bayes",TRUE,0.884260874088706,0.865567317363748,0.0186935567249583,0.25,TRUE
199,37,3,"F2",100,0.5,0.3,13703,"bayes",TRUE,0.889680352944426,0.922473571129254,-0.0327932181848274,0.25,TRUE
200,38,3,"F3",100,0.5,0.3,13803,"bayes",TRUE,0.919693159792444,0.897007969062616,0.0226851907298278,0,TRUE
201,39,3,"F1",300,0.5,0.3,13903,"bayes",TRUE,0.834799466219356,0.840215981648178,-0.00541651542882227,0.275,FALSE
202,40,3,"F2",300,0.5,0.3,14003,"bayes",TRUE,0.856213750805554,0.953191159975626,-0.0969774091700722,0.8125,FALSE
203,41,3,"F3",300,0.5,0.3,14103,"bayes",TRUE,0.515691777064116,0.536512866572727,-0.0208210895086108,0.233333333333333,FALSE
204,42,3,"F1",1000,0.5,0.3,14203,"bayes",TRUE,0.893136206467293,0.900120583377739,-0.0069843769104454,0.25,FALSE
205,43,3,"F2",1000,0.5,0.3,14303,"bayes",TRUE,0.818431452527075,0.880906408101291,-0.0624749555742156,0.5,FALSE
206,44,3,"F3",1000,0.5,0.3,14403,"bayes",TRUE,0.640984165649572,0.637728598802149,0.00325556684742301,0.166666666666667,FALSE
216,54,3,"F1",100,0.2,0.5,15403,"bayes",TRUE,1.08188623436076,1.05963633798844,0.0222498963723186,0,TRUE
217,55,3,"F2",100,0.2,0.5,15503,"bayes",TRUE,0.713369016024102,0.728546121373555,-0.0151771053494532,0,TRUE
218,56,3,"F3",100,0.2,0.5,15603,"bayes",TRUE,0.856337936726516,0.945529432842951,-0.0891914961164351,0.166666666666667,TRUE
219,57,3,"F1",300,0.2,0.5,15703,"bayes",TRUE,0.7445201676597,0.742526554576879,0.00199361308282053,0,TRUE
220,58,3,"F2",300,0.2,0.5,15803,"bayes",TRUE,0.745240658127392,0.771394776801002,-0.0261541186736094,0.5,TRUE
221,59,3,"F3",300,0.2,0.5,15903,"bayes",TRUE,0.738575695905271,0.69988521890969,0.0386904769955807,0,TRUE
222,60,3,"F1",1000,0.2,0.5,16003,"bayes",TRUE,0.947095839199066,0.957381563024705,-0.0102857238256391,0.25,FALSE
223,61,3,"F2",1000,0.2,0.5,16103,"bayes",TRUE,1.03151398654756,1.05736875282395,-0.0258547662763977,0.5,FALSE
224,62,3,"F3",1000,0.2,0.5,16203,"bayes",TRUE,0.850352559382087,0.853730937823728,-0.00337837844164113,0,TRUE
225,63,3,"F1",100,0.5,0.5,16303,"bayes",TRUE,0.984156204375059,0.991072436483933,-0.00691623210887371,0,TRUE
226,64,3,"F2",100,0.5,0.5,16403,"bayes",TRUE,0.980794285030504,1.0368214706958,-0.0560271856652924,0.5625,FALSE
227,65,3,"F3",100,0.5,0.5,16503,"bayes",TRUE,0.87048914797665,0.853491445020256,0.0169977029563936,0,TRUE
228,66,3,"F1",300,0.5,0.5,16603,"bayes",TRUE,0.885445438762334,0.897391155916956,-0.0119457171546217,0.675,FALSE
229,67,3,"F2",300,0.5,0.5,16703,"bayes",TRUE,0.799915862092837,0.857601390647321,-0.057685528554484,0.63421052631579,FALSE
230,68,3,"F3",300,0.5,0.5,16803,"bayes",TRUE,0.749236447759557,0.766320991711833,-0.0170845439522764,0.00833333333333333,TRUE
231,69,3,"F1",1000,0.5,0.5,16903,"bayes",TRUE,0.903260005491057,0.901967888467659,0.0012921170233986,0,FALSE
