"scenario","method","trait","type","metric","mean","sd","n_reps"
"nonlinear","pigauto","trait3","continuous","rmse",0.899238978387922,0.0816013145268604,2
"OU","baseline","trait1","continuous","mae",1.00164842039728,0.0858996090580902,2
"OU","baseline","trait1","continuous","pearson_r",0.0613551348181279,0.348494212161605,2
"OU","baseline","trait1","continuous","rmse",1.27120038810181,0.154787499207803,2
"OU","baseline","trait2","continuous","mae",1.02232741634178,0.119985748116583,2
"OU","baseline","trait2","continuous","pearson_r",-0.0128894354847199,0.0418188529976241,2
"OU","baseline","trait2","continuous","rmse",1.25083750442605,0.0822472551045564,2
"OU","baseline","trait3","continuous","mae",1.00828222779986,0.0899291424624917,2
"OU","baseline","trait3","continuous","pearson_r",-0.114377095616747,0.0803035536105444,2
"OU","baseline","trait3","continuous","rmse",1.2438036097926,0.138134372699692,2
"OU","pigauto","trait1","continuous","conformal_coverage_95",0.890166028097063,0.106562707765023,2
"OU","pigauto","trait1","continuous","mae",0.976739409438526,0.0981478879960695,2
"OU","pigauto","trait1","continuous","pearson_r",0.0595678195369509,0.336413940168517,2
"OU","pigauto","trait1","continuous","rmse",1.25501995925355,0.163724568415668,2
"OU","pigauto","trait2","continuous","conformal_coverage_95",0.862068965517241,0.0487659849094171,2
"OU","pigauto","trait2","continuous","mae",1.0107919184315,0.103672082972838,2
"OU","pigauto","trait2","continuous","pearson_r",-0.0103856427416885,0.0382779526117573,2
"OU","pigauto","trait2","continuous","rmse",1.24228622287188,0.0701539098828787,2
"OU","pigauto","trait3","continuous","conformal_coverage_95",0.781593406593407,0.145695078541184,2
"OU","pigauto","trait3","continuous","mae",0.965654136535103,0.0752711632461231,2
"OU","pigauto","trait3","continuous","pearson_r",-0.114133495405928,0.0849951849928689,2
"OU","pigauto","trait3","continuous","rmse",1.19287512716552,0.136246908683639,2
"regime_shift","baseline","trait1","continuous","mae",0.341729466789877,0.101289283477247,2
"regime_shift","baseline","trait1","continuous","pearson_r",0.900298492539075,0.0674114542029239,2
"regime_shift","baseline","trait1","continuous","rmse",0.415999655970807,0.11462094795338,2
"regime_shift","baseline","trait2","continuous","mae",0.443448891381498,0.0400027552736996,2
"regime_shift","baseline","trait2","continuous","pearson_r",0.806860123496134,0.0667383677420738,2
"regime_shift","baseline","trait2","continuous","rmse",0.57037313188282,0.0932812612260205,2
"regime_shift","baseline","trait3","continuous","mae",0.294092133461892,0.0302649506419744,2
"regime_shift","baseline","trait3","continuous","pearson_r",0.93079662905412,0.0289090275236761,2
"regime_shift","baseline","trait3","continuous","rmse",0.371166232997558,0.0364737975838275,2
"regime_shift","pigauto","trait1","continuous","conformal_coverage_95",0.91969696969697,0.0278557216831064,2
"regime_shift","pigauto","trait1","continuous","mae",0.341729467415059,0.101289273470271,2
"regime_shift","pigauto","trait1","continuous","pearson_r",0.900298492462432,0.0674114511891489,2
"regime_shift","pigauto","trait1","continuous","rmse",0.415999656976604,0.114620939370243,2
"regime_shift","pigauto","trait2","continuous","conformal_coverage_95",0.906609195402299,0.0142234122652466,2
"regime_shift","pigauto","trait2","continuous","mae",0.443448892743609,0.0400027557818955,2
"regime_shift","pigauto","trait2","continuous","pearson_r",0.806860121027446,0.0667383667339031,2
"regime_shift","pigauto","trait2","continuous","rmse",0.570373135064761,0.0932812596304422,2
"regime_shift","pigauto","trait3","continuous","conformal_coverage_95",0.921481481481481,0.0586636736984395,2
"regime_shift","pigauto","trait3","continuous","mae",0.294092133691949,0.0302649386421014,2
"regime_shift","pigauto","trait3","continuous","pearson_r",0.930796629593382,0.0289090220981105,2
"regime_shift","pigauto","trait3","continuous","rmse",0.371166235582793,0.0364737811310791,2
