"method","trait","type","metric","value","n_test","scenario","rep"
"baseline","trait2","continuous","mae",0.937484680202799,29,"OU",2
"baseline","trait3","continuous","rmse",1.3414793614435,26,"OU",2
"baseline","trait3","continuous","pearson_r",-0.17116028292814,26,"OU",2
"baseline","trait3","continuous","mae",1.07187173426138,26,"OU",2
"pigauto","trait1","continuous","rmse",0.908687892445234,26,"nonlinear",1
"pigauto","trait1","continuous","pearson_r",0.552523982713702,26,"nonlinear",1
"pigauto","trait1","continuous","mae",0.702581572835076,26,"nonlinear",1
"pigauto","trait1","continuous","conformal_coverage_95",0.961538461538462,26,"nonlinear",1
"pigauto","trait2","continuous","rmse",0.51291240938729,28,"nonlinear",1
"pigauto","trait2","continuous","pearson_r",0.426761950453537,28,"nonlinear",1
"pigauto","trait2","continuous","mae",0.413061495035027,28,"nonlinear",1
"pigauto","trait2","continuous","conformal_coverage_95",0.857142857142857,28,"nonlinear",1
"pigauto","trait3","continuous","rmse",0.956939821243602,30,"nonlinear",1
"pigauto","trait3","continuous","pearson_r",0.529071612443625,30,"nonlinear",1
"pigauto","trait3","continuous","mae",0.671674258541413,30,"nonlinear",1
"pigauto","trait3","continuous","conformal_coverage_95",0.9,30,"nonlinear",1
"baseline","trait1","continuous","rmse",0.903575136406174,26,"nonlinear",1
"baseline","trait1","continuous","pearson_r",0.564782137902262,26,"nonlinear",1
"baseline","trait1","continuous","mae",0.70508700836138,26,"nonlinear",1
"baseline","trait2","continuous","rmse",0.528629829614489,28,"nonlinear",1
"baseline","trait2","continuous","pearson_r",0.429273244833928,28,"nonlinear",1
"baseline","trait2","continuous","mae",0.419828830865568,28,"nonlinear",1
"baseline","trait3","continuous","rmse",0.956939835397848,30,"nonlinear",1
"baseline","trait3","continuous","pearson_r",0.529071602338351,30,"nonlinear",1
"baseline","trait3","continuous","mae",0.671674265114977,30,"nonlinear",1
"pigauto","trait1","continuous","rmse",0.522857475321642,31,"nonlinear",2
"pigauto","trait1","continuous","pearson_r",0.814806490551126,31,"nonlinear",2
"pigauto","trait1","continuous","mae",0.359309145452699,31,"nonlinear",2
"pigauto","trait1","continuous","conformal_coverage_95",1,31,"nonlinear",2
"pigauto","trait2","continuous","rmse",0.388282273847845,25,"nonlinear",2
"pigauto","trait2","continuous","pearson_r",0.89010798048617,25,"nonlinear",2
"pigauto","trait2","continuous","mae",0.289405623090116,25,"nonlinear",2
"pigauto","trait2","continuous","conformal_coverage_95",0.96,25,"nonlinear",2
"pigauto","trait3","continuous","rmse",0.841538135532243,28,"nonlinear",2
"pigauto","trait3","continuous","pearson_r",0.813453218960481,28,"nonlinear",2
"pigauto","trait3","continuous","mae",0.652348854679943,28,"nonlinear",2
"pigauto","trait3","continuous","conformal_coverage_95",0.964285714285714,28,"nonlinear",2
"baseline","trait1","continuous","rmse",0.530696507307499,31,"nonlinear",2
"baseline","trait1","continuous","pearson_r",0.812894358099324,31,"nonlinear",2
"baseline","trait1","continuous","mae",0.360528498105963,31,"nonlinear",2
"baseline","trait2","continuous","rmse",0.389131193220813,25,"nonlinear",2
"baseline","trait2","continuous","pearson_r",0.891355111882717,25,"nonlinear",2
"baseline","trait2","continuous","mae",0.308624402255091,25,"nonlinear",2
"baseline","trait3","continuous","rmse",0.841538147510986,28,"nonlinear",2
"baseline","trait3","continuous","pearson_r",0.813453211386592,28,"nonlinear",2
"baseline","trait3","continuous","mae",0.652348860494804,28,"nonlinear",2
"pigauto","trait1","continuous","rmse",0.334950413481934,33,"regime_shift",1
"pigauto","trait1","continuous","pearson_r",0.947965586727905,33,"regime_shift",1
"pigauto","trait1","continuous","mae",0.270107135282772,33,"regime_shift",1
"pigauto","trait1","continuous","conformal_coverage_95",0.93939393939394,33,"regime_shift",1
"pigauto","trait2","continuous","rmse",0.504413323822452,24,"regime_shift",1
"pigauto","trait2","continuous","pearson_r",0.854051272710304,24,"regime_shift",1
"pigauto","trait2","continuous","mae",0.415162672864081,24,"regime_shift",1
"pigauto","trait2","continuous","conformal_coverage_95",0.916666666666667,24,"regime_shift",1
"pigauto","trait3","continuous","rmse",0.396957093556093,27,"regime_shift",1
"pigauto","trait3","continuous","pearson_r",0.910354864030337,27,"regime_shift",1
"pigauto","trait3","continuous","mae",0.315492677037973,27,"regime_shift",1
"pigauto","trait3","continuous","conformal_coverage_95",0.962962962962963,27,"regime_shift",1
"baseline","trait1","continuous","rmse",0.334950406406942,33,"regime_shift",1
"baseline","trait1","continuous","pearson_r",0.947965588935609,33,"regime_shift",1
"baseline","trait1","continuous","mae",0.270107127581588,33,"regime_shift",1
"baseline","trait2","continuous","rmse",0.504413319512267,24,"regime_shift",1
"baseline","trait2","continuous","pearson_r",0.854051275891876,24,"regime_shift",1
"baseline","trait2","continuous","mae",0.415162671861319,24,"regime_shift",1
"baseline","trait3","continuous","rmse",0.396957102604708,27,"regime_shift",1
"baseline","trait3","continuous","pearson_r",0.91035485965462,27,"regime_shift",1
"baseline","trait3","continuous","mae",0.315492685293108,27,"regime_shift",1
"pigauto","trait1","continuous","rmse",0.497048900471275,30,"regime_shift",2
"pigauto","trait1","continuous","pearson_r",0.852631398196959,30,"regime_shift",2
"pigauto","trait1","continuous","mae",0.413351799547347,30,"regime_shift",2
"pigauto","trait1","continuous","conformal_coverage_95",0.9,30,"regime_shift",2
"pigauto","trait2","continuous","rmse",0.63633294630707,29,"regime_shift",2
"pigauto","trait2","continuous","pearson_r",0.759668969344589,29,"regime_shift",2
"pigauto","trait2","continuous","mae",0.471735112623136,29,"regime_shift",2
"pigauto","trait2","continuous","conformal_coverage_95",0.896551724137931,29,"regime_shift",2
"pigauto","trait3","continuous","rmse",0.345375377609493,25,"regime_shift",2
"pigauto","trait3","continuous","pearson_r",0.951238395156428,25,"regime_shift",2
"pigauto","trait3","continuous","mae",0.272691590345924,25,"regime_shift",2
"pigauto","trait3","continuous","conformal_coverage_95",0.88,25,"regime_shift",2
"baseline","trait1","continuous","rmse",0.497048905534673,30,"regime_shift",2
"baseline","trait1","continuous","pearson_r",0.852631396142541,30,"regime_shift",2
"baseline","trait1","continuous","mae",0.413351805998165,30,"regime_shift",2
"baseline","trait2","continuous","rmse",0.636332944253373,29,"regime_shift",2
"baseline","trait2","continuous","pearson_r",0.759668971100392,29,"regime_shift",2
"baseline","trait2","continuous","mae",0.471735110901677,29,"regime_shift",2
"baseline","trait3","continuous","rmse",0.345375363390408,25,"regime_shift",2
"baseline","trait3","continuous","pearson_r",0.95123839845362,25,"regime_shift",2
"baseline","trait3","continuous","mae",0.272691581630675,25,"regime_shift",2
"pigauto","cont1","continuous","rmse",0.754233447787774,22,"mixed",1
"pigauto","cont1","continuous","pearson_r",0.70776666674411,22,"mixed",1
"pigauto","cont1","continuous","mae",0.641637687368841,22,"mixed",1
"pigauto","cont1","continuous","conformal_coverage_95",0.954545454545455,22,"mixed",1
"pigauto","cont2","continuous","rmse",0.786871696295902,30,"mixed",1
"pigauto","cont2","continuous","pearson_r",0.726038668211773,30,"mixed",1
"pigauto","cont2","continuous","mae",0.607041142457098,30,"mixed",1
"pigauto","cont2","continuous","conformal_coverage_95",0.9,30,"mixed",1
"pigauto","binary_trait","binary","accuracy",0.75,32,"mixed",1
"pigauto","binary_trait","binary","brier",0.195007285610572,32,"mixed",1
"pigauto","cat_trait","categorical","accuracy",0.586206896551724,29,"mixed",1
"pigauto","cat_trait","categorical","accuracy_A",1,12,"mixed",1
"pigauto","cat_trait","categorical","accuracy_B",0.2,5,"mixed",1
"pigauto","cat_trait","categorical","accuracy_C",0.333333333333333,12,"mixed",1
"baseline","cont1","continuous","rmse",0.754233450195813,22,"mixed",1
"baseline","cont1","continuous","pearson_r",0.707766664722656,22,"mixed",1
"baseline","cont1","continuous","mae",0.641637689069024,22,"mixed",1
"baseline","cont2","continuous","rmse",0.765084845655774,30,"mixed",1
"baseline","cont2","continuous","pearson_r",0.752304087367203,30,"mixed",1
"baseline","cont2","continuous","mae",0.60833916198591,30,"mixed",1
"baseline","binary_trait","binary","accuracy",0.8125,32,"mixed",1
"baseline","binary_trait","binary","brier",0.182806199596441,32,"mixed",1
"baseline","cat_trait","categorical","accuracy",0.655172413793103,29,"mixed",1
"baseline","cat_trait","categorical","accuracy_A",0.916666666666667,12,"mixed",1
