"set","host","cont_host","arm","n_fits","n_fits_identical","est_rows","max_abs_estimate","median_abs_estimate","max_abs_se","median_abs_se","cell_rows","max_abs_zRMSE","median_abs_zRMSE","max_abs_coverage","median_abs_coverage","tol"
"bace","all","all","all",2400,645,18780,0.615338215461272,0.00274602370077596,1.00745174077195,0.00126621295068705,27960,2.72918920619758,0.0155866545127523,0.233333333333333,0.0111111111111111,1e-05
"bace","all","all","bace",2332,577,4664,0.615338215461272,0.00875289567846858,1.00745174077195,0.00371976679620225,9328,2.72918920619758,0.0153390164947834,0.233333333333333,0.0111111111111111,1e-05
"bace","all","all","bace_chain",2326,573,4652,0.379365637690936,0.0102099837527442,0.670538677427852,0.00454250880503956,9304,1.46166686476061,0.0151740446023911,0.166666666666667,0.0111111111111111,1e-05
"bace","all","all","bace_resid",2332,577,4664,0.61217928232722,0.00835893850130653,0.95500355718225,0.00394327889138545,9328,2.72918920619758,0.0161631276264118,0.166666666666667,0.0111111111111111,1e-05
"bace","all","all","complete",2400,2400,4800,2.30264141087844e-11,1.10328413072125e-15,9.38402133776606e-13,0,0,NA,NA,NA,NA,1e-05
"bace","fir","nibi","all",505,32,3844,0.493904254945832,0.00887710535997854,0.592415621516228,0.00413074181399532,5668,1.70052570882758,0.0241317539944775,0.166666666666667,0.0111111111111112,1e-05
"bace","fir","nibi","bace",473,0,946,0.493904254945832,0.0150666359149713,0.592415621516228,0.00664841980068383,1892,1.70052570882758,0.0244804407942206,0.166666666666667,0.0222222222222223,1e-05
"bace","fir","nibi","bace_chain",471,0,942,0.373386022507771,0.0149182064220477,0.577620179017576,0.00895228873370772,1884,0.811105582681552,0.0233284776382703,0.133333333333333,0.0111111111111112,1e-05
"bace","fir","nibi","bace_resid",473,0,946,0.480165085409737,0.0142177928182188,0.561633207195641,0.00642319781820617,1892,1.70052570882758,0.0254557971826826,0.166666666666667,0.0111111111111111,1e-05
"bace","fir","nibi","complete",505,505,1010,2.30264141087844e-11,4.66848781854878e-14,9.38402133776606e-13,0,0,NA,NA,NA,NA,1e-05
"bace","fir","rorqual","all",571,127,4404,0.615338215461272,0.00428709599254706,1.00745174077195,0.00207843395894228,6524,1.16808730350797,0.0179494657424848,0.2,0.0111111111111111,1e-05
"bace","fir","rorqual","bace",544,100,1088,0.615338215461272,0.00891036146445392,1.00745174077195,0.0041989988925724,2176,1.16808730350797,0.0178538365026838,0.2,0.0111111111111112,1e-05
"bace","fir","rorqual","bace_chain",543,99,1086,0.379365637690936,0.0120712718640272,0.670538677427852,0.00541608487567179,2172,0.732684381958199,0.0173416882526766,0.133333333333333,0.0111111111111111,1e-05
"bace","fir","rorqual","bace_resid",544,100,1088,0.61217928232722,0.00887189403541999,0.95500355718225,0.00476082788926076,2176,1.12285840817943,0.0190048990490038,0.166666666666667,0.0111111111111111,1e-05
"bace","fir","rorqual","complete",571,571,1142,3.34055005879463e-12,2.22044604925031e-16,3.25309224002979e-13,0,0,NA,NA,NA,NA,1e-05
"bace","nibi","nibi","all",201,200,1606,0.0242682988658442,0,0.0360873506812235,0,2408,0.278218271621529,0,0.1,0,1e-05
"bace","nibi","nibi","bace",201,200,402,0.0167164260988377,0,0.0150239584562873,0,804,0.157514980232991,0,0.1,0,1e-05
"bace","nibi","nibi","bace_chain",200,199,400,0.0140651777571982,0,0.0360873506812235,0,800,0.278218271621529,0,0.0333333333333333,0,1e-05
"bace","nibi","nibi","bace_resid",201,200,402,0.0242682988658442,0,0.00581767711166026,0,804,0.160608264463359,0,0.0666666666666667,0,1e-05
"bace","nibi","nibi","complete",201,201,402,0,0,0,0,0,NA,NA,NA,NA,1e-05
"bace","nibi","rorqual","all",120,0,960,0.226745061842737,0.0142178064141414,0.0707781929203219,0.00607065019404025,1440,2.72918920619758,0.0737162439947779,0.233333333333333,0.0333333333333333,1e-05
"bace","nibi","rorqual","bace",120,0,240,0.226745061842737,0.0234942185172372,0.0427887957350595,0.00799835101002904,480,2.72918920619758,0.079165466098264,0.233333333333333,0.0333333333333333,1e-05
"bace","nibi","rorqual","bace_chain",120,0,240,0.131319704986972,0.020885796949812,0.0707781929203219,0.011935954728079,480,1.26268723700913,0.065786932623892,0.166666666666667,0.0333333333333333,1e-05
"bace","nibi","rorqual","bace_resid",120,0,240,0.206143770264066,0.0212927509392499,0.0431029543264485,0.00882660384206677,480,2.72918920619758,0.0785156188552426,0.166666666666667,0.0333333333333333,1e-05
"bace","nibi","rorqual","complete",120,120,240,5.10030906397674e-12,7.94121712832663e-14,8.29752933029226e-13,0,0,NA,NA,NA,NA,1e-05
"bace","rorqual","fir","all",586,69,4640,0.264338877895177,0.00542874316415778,0.369349912525015,0.00234485086458977,6936,0.966535344274946,0.0171518966526567,0.133333333333333,0.0111111111111111,1e-05
"bace","rorqual","fir","bace",578,61,1156,0.264338877895177,0.00967957045447237,0.262640890096411,0.00396477578795975,2312,0.966535344274946,0.0168621943385694,0.133333333333333,0.0111111111111112,1e-05
"bace","rorqual","fir","bace_chain",578,61,1156,0.221142990919787,0.0108291595530748,0.369349912525015,0.004517496907169,2312,0.62365221557991,0.0168178159064472,0.122222222222222,0.0111111111111112,1e-05
"bace","rorqual","fir","bace_resid",578,61,1156,0.24171469140892,0.00895833715781366,0.268823518652733,0.00423269019919321,2312,0.966535344274946,0.0180437563202429,0.1,0.0111111111111111,1e-05
"bace","rorqual","fir","complete",586,586,1172,7.80953079981828e-12,1.94289029309402e-16,4.05626920940705e-13,0,0,NA,NA,NA,NA,1e-05
"bace","rorqual","nibi","all",195,0,1560,0.20575967047795,0.0162939198483569,0.13602997805277,0.00639322624814518,2340,2.04054859167939,0.0588852785286808,0.2,0.0333333333333333,1e-05
"bace","rorqual","nibi","bace",195,0,390,0.20575967047795,0.0269035505705363,0.13602997805277,0.00915436833605138,780,2.04054859167939,0.0608119674991393,0.2,0.0333333333333333,1e-05
"bace","rorqual","nibi","bace_chain",195,0,390,0.159417689240934,0.0235286965428917,0.0889297179567998,0.0115685331398617,780,1.46166686476061,0.0541011427663852,0.166666666666667,0.0333333333333333,1e-05
"bace","rorqual","nibi","bace_resid",195,0,390,0.199188944921266,0.0229085263378881,0.10276524656002,0.00973824626694862,780,2.04054859167939,0.062539602110261,0.133333333333333,0.0333333333333333,1e-05
"bace","rorqual","nibi","complete",195,195,390,4.76961092149564e-12,6.81277950720371e-14,6.81024681092879e-13,6.93889390390723e-18,0,NA,NA,NA,NA,1e-05
"bace","rorqual","rorqual","all",222,217,1766,0.0689354664130199,0,0.038607132404782,0,2644,0.725066360438062,0,0.1,0,1e-05
"bace","rorqual","rorqual","bace",221,216,442,0.0460151020173843,0,0.0174166629747558,0,884,0.725066360438062,0,0.1,0,1e-05
"bace","rorqual","rorqual","bace_chain",219,214,438,0.0689354664130199,0,0.038607132404782,0,876,0.679927611424206,0,0.1,0,1e-05
"bace","rorqual","rorqual","bace_resid",221,216,442,0.0488329958852433,0,0.019327197099531,0,884,0.725066360438062,0,0.1,0,1e-05
"bace","rorqual","rorqual","complete",222,222,444,0,0,0,0,0,NA,NA,NA,NA,1e-05
"freq","all","all","all",2400,2236,14396,0.169813143648201,2.61929297695751e-11,0.0176200263397273,2.85663853683005e-12,14394,1.76459424835998,1.68337344064184e-10,0.0777777777777777,0,1e-05
"freq","all","all","complete",2400,2400,4800,3.39116474484813e-10,6.40598685208715e-14,5.42024897187687e-11,0,0,NA,NA,NA,NA,1e-05
"freq","all","all","freqA",2399,2235,4798,0.161590282955503,5.20100999074069e-09,0.0176200263397273,2.6550587145513e-09,7197,1.76459424835998,1.65469127288986e-09,0.0777777777777777,0,1e-05
"freq","all","all","freqB",2399,2376,4798,0.169813143648201,4.98080465760609e-11,0.00994074283640911,3.50971335327799e-12,7197,1.61606169285725,1.83912884921256e-11,0.0666666666666667,0,1e-05
