"n","lambda","rho","arm","trait","n_fits","n_fits_trait_absent","n_fits_missing","accuracy","accuracy_se","brier","brier_se","ece","ece_se","set_coverage","set_coverage_se","set_size","set_size_se","mae_class","mae_class_se","frac_unanimous","frac_unanimous_se","n_na_draws"
100,0.3,0,"bace","bin",200,0,0,0.652416666666667,0.00758296518332534,0.509501666666667,0.0102920290145694,0.215783333333333,0.00580505120445294,0.911,0.0041409423667919,1.65916666666667,0.00979247965191197,NA,NA,0.197833333333333,0.00783012514937211,0
100,0.3,0,"bace","cat3",200,0,0,0.475472222222222,0.00793416571783492,0.727259553589782,0.0103836488745235,0.288173192619787,0.00659152969368496,0.887833333333333,0.00437894752912956,2.3495,0.0126477366702929,NA,NA,0.0561666666666667,0.00420428578759912,9766
100,0.3,0,"bace","ord",200,0,0,0.397111111111111,0.00786026589952064,0.759296666666667,0.00855960341747404,0.240877777777778,0.00575763324568769,0.863666666666667,0.00510283236983903,2.891,0.0241629379668384,0.9105,0.0145954711392876,0.0345,0.00416291288195636,0
100,0.3,0,"bace_chain","bin",200,0,0,0.652666666666667,0.00740135198237091,0.479679166666667,0.00927084526564643,0.193925,0.00503434460067518,0.941833333333333,0.00339965429976352,1.74716666666667,0.00980342098928961,NA,NA,0.138333333333333,0.0068961750700973,0
100,0.3,0,"bace_chain","cat3",200,0,0,0.474805555555556,0.00806143795506385,0.700895163636632,0.0100330219343586,0.261454923827176,0.0059825395015209,0.903583333333333,0.00400808350576283,2.42516666666667,0.0134614811234444,NA,NA,0.049,0.0040852856577771,9994
100,0.3,0,"bace_chain","ord",200,0,0,0.396013888888889,0.0087259453173244,0.737644166666667,0.00825083102234704,0.219233333333333,0.00518070767302111,0.893388888888889,0.00455600323275941,3.07383333333333,0.0243117174130793,0.900083333333333,0.0153727431491995,0.0221666666666667,0.00323366487101644,0
100,0.3,0,"bace_resid","bin",200,0,0,0.652416666666667,0.00758296518332534,0.509501666666667,0.0102920290145694,0.215783333333333,0.00580505120445294,0.911,0.0041409423667919,1.65916666666667,0.00979247965191197,NA,NA,0.197833333333333,0.00783012514937211,0
100,0.3,0,"bace_resid","cat3",200,0,0,0.475472222222222,0.00793416571783492,0.727259553589782,0.0103836488745235,0.288173192619787,0.00659152969368496,0.887833333333333,0.00437894752912956,2.3495,0.0126477366702929,NA,NA,0.0561666666666667,0.00420428578759912,9766
100,0.3,0,"bace_resid","ord",200,0,0,0.397111111111111,0.00786026589952064,0.759296666666667,0.00855960341747404,0.240877777777778,0.00575763324568769,0.863666666666667,0.00510283236983903,2.891,0.0241629379668384,0.9105,0.0145954711392876,0.0345,0.00416291288195636,0
100,0.3,0,"freqA","bin",200,0,0,0.58975,0.0088062442156648,0.497310833333333,0.00633294306713246,0.156508333333333,0.00461320171086477,0.988833333333333,0.00180385931575722,1.96333333333333,0.00591206736093041,NA,NA,0.015,0.00295839378757207,0
100,0.3,0,"freqA","cat3",200,0,0,0.42125,0.00898377585668833,0.685248333333333,0.00729442462702218,0.189583333333333,0.00519346201860507,0.956833333333333,0.0035031891030432,2.7745,0.0161632126030906,NA,NA,0.00933333333333334,0.0014596757401326,0
100,0.3,0,"freqA","ord",200,0,0,0.339097222222222,0.00839861221277817,0.763885,0.00586599915662521,0.181411111111111,0.00486519345214116,0.920583333333333,0.00394684372339271,3.45583333333333,0.025910486183185,1.02555555555556,0.0152482202277154,0.00283333333333334,0.00128942570503289,0
100,0.3,0,"freqA_er","bin",200,0,0,0.53625,0.00752108287447294,0.5203225,0.00528252918301212,0.148258333333333,0.00505593085761293,0.987,0.00226386169926776,1.9505,0.00855232360079066,NA,NA,0.0288333333333333,0.00566946181924995,0
100,0.3,0,"freqA_er","cat3",200,0,0,0.367166666666667,0.00805906275334245,0.6980675,0.00554663507551593,0.170808333333333,0.00527291173824576,0.976416666666667,0.00353706840130192,2.8865,0.0193589293683042,NA,NA,0.0173333333333333,0.00460597044144076,0
