"n","lambda","rho","arm","n_fits","n_excluded","n_undefined","n_missing","truth","truth_mc_se","coverage","coverage_se","complete_coverage","complete_coverage_se","coverage_cond","coverage_cond_se","complete_coverage_cond","bias_cond","bias_cond_se","bias","bias_se","rmse","se_mean","emp_sd","width","fmi_mean","m_ok_min","diff_cd_mean","diff_cd_sd","diff_cd_se"
100,0.3,0,"bace",200,0,0,0,-0.00229772419664423,0.00279169169167965,0.9,0.0212664361502501,0.905,0.0207854558737449,0.9,0.0212664361502501,0.905,0.00988866350126821,0.0196869094405039,0.0121863876979124,0.0196869094405039,0.277985277138063,0.254826394139844,0.278414943319716,1.03152182305012,0.407509218246824,20,-0.00430092105957415,0.209405594054167,0.0148072115574099
100,0.3,0,"bace_chain",200,0,0,0,-0.00229772419664423,0.00279169169167965,0.935,0.0174757549207538,0.905,0.0207854558737449,0.94,0.0168349958546813,0.905,0.00908114911463158,0.018409154291352,0.0113788733112758,0.018409154291352,0.259942251549593,0.261093512007982,0.260344756706488,1.0616451212596,0.45512938089651,20,-0.00510843544621077,0.181758103992036,0.0128522387868378
100,0.3,0,"bace_resid",200,0,0,0,-0.00229772419664423,0.00279169169167965,0.935,0.0174757549207538,0.905,0.0207854558737449,0.93,0.0180868924470722,0.905,0.00889055745581694,0.0197461656349681,0.0111882816524612,0.0197461656349681,0.278778546602443,0.276329042850203,0.279252952458375,1.12023201846635,0.423990234264759,20,-0.0052990271050254,0.208546204065254,0.0147464435085255
100,0.3,0,"complete",200,0,0,0,-0.00229772419664423,0.00279169169167965,0.905,0.0207854558737449,0.905,0.0207854558737449,0.905,0.0207854558737449,0.905,0.0141895845608424,0.0152687537920529,0.0164873087574866,0.0152687537920529,0.216022371480753,0.18661798737239,0.215932786932569,0.740674644732765,0,NA,0,0,0
100,0.3,0,"freqA",200,0,0,0,-0.00229772419664423,0.00279169169167965,1,0,0.905,0.0207854558737449,1,0,0.905,0.0469153419554015,0.010822169106286,0.0492130661520458,0.010822169106286,0.160401606503585,0.226955915380419,0.153048583244048,0.914051033026543,0.35580021556269,20,0.0327257572109358,0.141534048133149,0.0100079685203733
100,0.3,0,"freqA_er",200,0,0,0,-0.00229772419664423,0.00279169169167965,1,0,0.905,0.0207854558737449,1,0,0.905,0.0452607917797488,0.0106508340932924,0.047558515976393,0.0106508340932924,0.157595766286922,0.222800595697814,0.150625540253199,0.897316601176135,0.359176626528321,20,0.0310712070352831,0.144691177454085,0.010231211275565
100,0.3,0,"freqB",200,0,0,0,-0.00229772419664423,0.00279169169167965,1,0,0.905,0.0207854558737449,1,0,0.905,0.0478313997785048,0.0106447942642367,0.050129123975149,0.0106447942642367,0.158309653562798,0.227931544447982,0.150540124171549,0.918588287338551,0.364853997825797,20,0.0336418150340391,0.147963218983275,0.0104625795509264
100,0.3,0,"freqB_er",200,0,0,0,-0.00229772419664423,0.00279169169167965,0.995,0.00500000000000001,0.905,0.0207854558737449,0.995,0.00500000000000001,0.905,0.0487272070969832,0.0103536799255829,0.0510249312936275,0.0103536799255829,0.154712903553006,0.221852058494666,0.146423145712294,0.893308515700646,0.354598262313457,20,0.0345376223525175,0.1473150286209,0.0104167455708529
100,0.3,0.5,"bace",200,0,0,0,0.719697930658413,0.0025381667541467,0.93,0.0180868924470722,0.955,0.0146953997519409,0.92,0.019231465004808,0.98,-0.0111372952159787,0.0171431263856654,-0.0173800234845779,0.0175657852208564,0.248404650703143,0.224036181379315,0.24841771693068,0.903714705703547,0.373248929114741,20,-0.00932783522276517,0.188199742830709,0.0133077314373158
100,0.3,0.5,"bace_chain",200,0,0,0,0.719697930658413,0.0025381667541467,0.95,0.0154497076780334,0.955,0.0146953997519409,0.95,0.0154497076780334,0.98,-0.0165752815877848,0.0157130028092658,-0.022818009856384,0.0162026808032111,0.229703086071443,0.23817357756854,0.229140509387034,0.967249886781625,0.438759964331362,20,-0.0147658215945713,0.170975188115548,0.012089771493115
100,0.3,0.5,"bace_resid",200,0,0,0,0.719697930658413,0.0025381667541467,0.945,0.0161610923059864,0.955,0.0146953997519409,0.945,0.0161610923059864,0.98,-0.00787415822569473,0.017056489389908,-0.014116886494294,0.0174942070811212,0.247189594203165,0.242948078814364,0.24740544917085,0.981862077924451,0.395710041524793,20,-0.00606469823248125,0.18600582209155,0.0131525978141114
100,0.3,0.5,"complete",200,0,0,0,0.719697930658413,0.0025381667541467,0.955,0.014695399751941,0.955,0.014695399751941,0.98,0.00992433687011669,0.98,-0.00180945999321349,0.0113819065214389,-0.00805218826181276,0.0127170206752122,0.179576273743791,0.171704325235657,0.179845831118642,0.681483290457003,0,NA,0,0,0
100,0.3,0.5,"freqA",200,0,0,0,0.719697930658413,0.0025381667541467,0.875,0.0234440422192481,0.955,0.0146953997519409,0.885,0.0226148659249623,0.98,-0.278791039296138,0.00870601269629235,-0.285033767564738,0.00936581870630031,0.314165946754206,0.221484986788241,0.132452678371775,0.892259967677275,0.358484776824215,20,-0.276981579303142,0.125405654916496,0.00886751889905944
100,0.3,0.5,"freqA_er",200,0,0,0,0.719697930658413,0.0025381667541467,0.825,0.0269351538433107,0.955,0.0146953997519409,0.85,0.0253121219495313,0.98,-0.294637357417859,0.00899660225820368,-0.300880085686458,0.00949631889624318,0.329354915563652,0.219530334516963,0.13429822975687,0.885191662841009,0.37182246366744,20,-0.292827897424863,0.131307080624114,0.00928481271271194
100,0.3,0.5,"freqB",200,0,0,0,0.719697930658413,0.0025381667541467,0.855,0.0249597666204784,0.955,0.0146953997519409,0.87,0.0238399183837259,0.98,-0.281150249108129,0.00878117680589796,-0.287392977376728,0.0094682245657827,0.316914075822849,0.222463997736585,0.13390091592524,0.896810791657139,0.366917227162846,20,-0.279340789115133,0.128816697105393,0.00910871600532767
100,0.3,0.5,"freqB_er",200,0,0,0,0.719697930658413,0.0025381667541467,0.83,0.0266279031493404,0.955,0.0146953997519409,0.85,0.0253121219495313,0.98,-0.291648370794438,0.00869251004704868,-0.297891099063038,0.00905378327309421,0.324116235663474,0.217156468572291,0.128039830955965,0.875012576817086,0.358329813434041,20,-0.289838910801442,0.131749666361169,0.0093161082503048
100,0.7,0,"bace",199,0,1,0,-0.00506223967224394,0.00296044555968605,0.939698492462312,0.016917093699099,0.954773869346734,0.0147676837599311,0.939698492462312,0.016917093699099,0.954773869346734,0.0254932841411252,0.0185320554226402,0.0305555238133692,0.0185320554226402,0.262553197498517,0.243065787412518,0.26142681300772,0.995189888721102,0.41291522028937,20,0.0229109688379808,0.201639255060829,0.0142938278104504
100,0.7,0,"bace_chain",199,0,1,0,-0.00506223967224394,0.00296044555968605,0.969849246231156,0.0121525833426093,0.954773869346734,0.0147676837599311,0.964824120603015,0.0130922401463102,0.954773869346734,0.0144297689200696,0.0163295497916361,0.0194920085923135,0.0163295497916361,0.230602405203571,0.251876314024381,0.230356647577418,1.03472530255027,0.470679752759449,20,0.0118474536169252,0.173259663217402,0.012282051884089
100,0.7,0,"bace_resid",199,0,1,0,-0.00506223967224394,0.00296044555968605,0.954773869346734,0.0147676837599311,0.954773869346734,0.0147676837599311,0.954773869346734,0.0147676837599311,0.954773869346734,0.0253880057233315,0.0184548242264679,0.0304502453955754,0.0184548242264679,0.261461591474076,0.260091377577491,0.260337332913925,1.06517987160598,0.425942152695964,20,0.0228056904201871,0.201122651638129,0.0142572067647709
100,0.7,0,"complete",199,0,1,0,-0.00506223967224394,0.00296044555968605,0.954773869346734,0.0147676837599311,0.954773869346734,0.0147676837599311,0.954773869346734,0.0147676837599311,0.954773869346734,0.0025823153031444,0.0143173292296358,0.00764455497538834,0.0143173292296358,0.201607665137486,0.177181924542032,0.201970783376425,0.703223525561682,0,NA,0,0,0
100,0.7,0,"freqA",199,0,1,0,-0.00506223967224394,0.00296044555968605,1,0,0.954773869346734,0.0147676837599311,1,0,0.954773869346734,0.037378670106693,0.00985344759696499,0.042440909778937,0.00985344759696499,0.145000468526824,0.214968526148084,0.138999983739858,0.865327129535868,0.347003681943076,20,0.0347963548036808,0.138383769027021,0.00980976529414701
100,0.7,0,"freqA_er",199,0,1,0,-0.00506223967224394,0.00296044555968605,1,0,0.954773869346734,0.0147676837599311,1,0,0.954773869346734,0.0339625072792187,0.0109715372568215,0.0390247469514626,0.0109715372568215,0.159239152128597,0.2157949286171,0.154772579373048,0.868625903818188,0.344890133545963,20,0.0313801919762064,0.130840674467995,0.00927504949809757
100,0.7,0,"freqB",199,0,1,0,-0.00506223967224394,0.00296044555968605,1,0,0.954773869346734,0.0147676837599311,1,0,0.954773869346734,0.0393002860757272,0.010725609694473,0.0443625257479712,0.010725609694473,0.157307650633203,0.21598465705899,0.151303344180876,0.869048542601637,0.35365485138597,20,0.036717970772715,0.132728857464927,0.00940889924191168
100,0.7,0,"freqB_er",199,0,1,0,-0.00506223967224394,0.00296044555968605,1,0,0.954773869346734,0.0147676837599311,1,0,0.954773869346734,0.0360307575238877,0.0107944886947253,0.0410929971961317,0.0107944886947253,0.157352437802249,0.213961189036881,0.152275002051978,0.860138752302605,0.339544443999222,20,0.0334484422208755,0.139620915173563,0.00989746425926017
100,0.7,0.5,"bace",200,0,0,0,0.52637722720545,0.00271544004337402,0.95,0.0154497076780334,0.96,0.0138911779241576,0.945,0.0161610923059864,0.985,-0.0129852363977742,0.0156546756500494,-0.0126887803918218,0.016204471715855,0.228944100081724,0.220720502373634,0.229165836716533,0.895351444899717,0.392506052756036,20,-0.0175960973441007,0.181389780993115,0.0128261944178174
100,0.7,0.5,"bace_chain",200,0,0,0,0.52637722720545,0.00271544004337402,0.96,0.0138911779241576,0.96,0.0138911779241576,0.96,0.0138911779241576,0.985,-0.0167025841242486,0.0152592222677421,-0.0164061281182962,0.0157434519978248,0.222693872660629,0.231951450881049,0.222646033338936,0.946856067941605,0.445733010075198,20,-0.021313445070575,0.180425627389654,0.0127580184627062
100,0.7,0.5,"bace_resid",200,0,0,0,0.52637722720545,0.00271544004337402,0.96,0.0138911779241576,0.96,0.0138911779241576,0.96,0.0138911779241576,0.985,-0.00710921017208877,0.015669181275509,-0.00681275416613631,0.0163064834728332,0.230132120457,0.236869986742831,0.230608500818935,0.962617745075372,0.414806702644516,20,-0.0117200711184152,0.180894921335646,0.0127912025558642
100,0.7,0.5,"complete",200,0,0,0,0.52637722720545,0.00271544004337402,0.96,0.0138911779241576,0.96,0.0138911779241576,0.985,0.00861662527650928,0.985,0.00461086094632643,0.0104986136646716,0.00490731695227886,0.0123874982160657,0.174816057781382,0.16399043553819,0.175185679810327,0.650867364352417,0,NA,0,0,0
100,0.7,0.5,"freqA",200,0,0,0,0.52637722720545,0.00271544004337402,0.855,0.0249597666204783,0.96,0.0138911779241576,0.89,0.022180166793669,0.985,-0.210383186363653,0.00915843117649237,-0.210086730357701,0.00992373702072314,0.252456065498983,0.208817469386911,0.140342834841306,0.842017578973371,0.361511313426902,20,-0.214994047309784,0.132734116500656,0.00938571938724192
100,0.7,0.5,"freqA_er",200,0,0,0,0.52637722720545,0.00271544004337402,0.855,0.0249597666204784,0.96,0.0138911779241576,0.89,0.022180166793669,0.985,-0.200110621764873,0.00964443454147666,-0.19981416575892,0.0109751097264166,0.252776293401504,0.207765824906391,0.155211490236313,0.836688937925796,0.351880399356014,20,-0.204721482711003,0.1370655444842,0.00969199759718043
100,0.7,0.5,"freqB",200,0,0,0,0.52637722720545,0.00271544004337402,0.85,0.0253121219495313,0.96,0.0138911779241576,0.89,0.022180166793669,0.985,-0.208162637921447,0.00869790484078599,-0.207866181915494,0.00998186254092481,0.251070165415015,0.206539012005934,0.141164853831198,0.831695921010262,0.355567641268063,20,-0.212773498867577,0.12893123845143,0.00911681530157858
