"set","tag","n","lambda","rho","seed","converged","n_attempts","drift","ess_min","ess_med","ess_frac_low","input_fix"
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s37",300,0.3,0,37,FALSE,1,0.290307603920714,59.060384103862,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s38",300,0.3,0,38,FALSE,1,0.296745629123333,36.4191429863063,1600,0.00643883110450718,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s39",300,0.3,0,39,FALSE,1,1.06392664700533,1.17419725316839,1600,0.0143635463100545,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s4",300,0.3,0,4,FALSE,1,0.428571428571428,2.62745261897512,1600,0.0965824665676077,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s40",300,0.3,0,40,FALSE,1,4.35240852245211,31.719107601693,1600,0.00643883110450718,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s41",300,0.3,0,41,FALSE,1,0.216094083671736,1.64979380242579,1600,0.0856859831599802,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s42",300,0.3,0,42,FALSE,1,0.623177792119578,44.3359794835422,1600,0.00693412580485389,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s43",300,0.3,0,43,FALSE,1,0.256902565142318,2.22475171843846,1600,0.0257553244180287,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s44",300,0.3,0,44,FALSE,1,0.98247845396196,53.5339911452732,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s45",300,0.3,0,45,TRUE,1,0.437376874141759,3.74596047149784,1600,0.0376423972263497,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s46",300,0.3,0,46,FALSE,1,0.306063537342278,40.1267184652646,1600,0.00544824170381377,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s47",300,0.3,0,47,FALSE,1,0.289057144179764,1.83365800393598,1600,0.0277365032194156,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s48",300,0.3,0,48,FALSE,1,0.161290322580645,47.3576987561229,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s49",300,0.3,0,49,FALSE,1,0.633430203960399,2.37989625634995,1600,0.0277365032194156,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s5",300,0.3,0,5,FALSE,1,0.214285714285714,59.7467470682639,1600,0.00594353640416048,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s50",300,0.3,0,50,FALSE,1,0.362747263104475,28.2008257350187,1600,0.00742942050520059,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s51",300,0.3,0,51,FALSE,1,0.4895378820346,1.29695656565861,1600,0.12778603268945,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s52",300,0.3,0,52,FALSE,1,2.96322480175375,0.978969193272121,1600,0.0381376919266964,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s53",300,0.3,0,53,TRUE,1,0.333333333333333,2.71378566235724,1600,0.0227835562159485,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s54",300,0.3,0,54,FALSE,1,0.318021116937585,49.8631885812398,1600,0.00594353640416048,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s55",300,0.3,0,55,FALSE,1,0.428571428571428,53.6099704224116,1600,0.00346706290242694,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s56",300,0.3,0,56,FALSE,1,1,1.78576620203979,1600,0.0975730559683011,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s57",300,0.3,0,57,FALSE,1,1.6545680645408,1.26625669077035,1600,0.0807330361565131,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s58",300,0.3,0,58,FALSE,1,0.534865128773371,44.2502065935617,1600,0.00544824170381377,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s59",300,0.3,0,59,FALSE,1,0.715652772679506,53.993311774398,1600,0.00297176820208024,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s6",300,0.3,0,6,FALSE,1,0.236992061786489,12.9521920416814,1600,0.0108964834076275,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s60",300,0.3,0,60,TRUE,1,11.9959029988006,1.09264435787505,1600,0.0307082714214958,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s61",300,0.3,0,61,FALSE,1,0.666432158793649,1.3557170775067,1600,0.100544824170381,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s62",300,0.3,0,62,TRUE,1,0.135135135135135,3.35347624571669,1600,0.0143635463100545,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s63",300,0.3,0,63,FALSE,1,0.569619514243853,48.010972780886,1600,0.00742942050520059,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s64",300,0.3,0,64,FALSE,1,1.14744034824282,40.0195123276354,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s65",300,0.3,0,65,FALSE,1,0.792781047225686,49.1886868686955,1600,0.00445765230312036,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s66",300,0.3,0,66,FALSE,1,3.50857003085033,1.93850233350676,1600,0.0381376919266964,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s67",300,0.3,0,67,FALSE,1,0.241379310344828,2.63008526672129,1600,0.102030708271421,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s68",300,0.3,0,68,FALSE,1,1.94723237854018,22.8458570353213,1600,0.0079247152055473,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s69",300,0.3,0,69,FALSE,1,1.58319944309678,1.92985648963242,1600,0.0356612184249629,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s7",300,0.3,0,7,FALSE,1,0.257649616852735,1.95216423182801,1600,0.0470529965329371,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s70",300,0.3,0,70,FALSE,1,0.230769230769231,1.74050624678799,1600,0.0282317979197623,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s71",300,0.3,0,71,FALSE,1,0.320766816549233,1.16610299647866,1600,0.0297176820208024,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s72",300,0.3,0,72,FALSE,1,79.3979545551898,27.8476793809451,1600,0.00643883110450718,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s73",300,0.3,0,73,TRUE,1,1.56622937377102,1.86732795873885,1600,0.0698365527488856,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s74",300,0.3,0,74,FALSE,1,35.692720871593,44.5126664030911,1600,0.00594353640416048,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s75",300,0.3,0,75,FALSE,1,24.8819939182893,2.8050068474657,1600,0.0113917781079742,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s76",300,0.3,0,76,FALSE,1,0.475677937207636,42.5163896229814,1600,0.00396235760277365,""
"bace","rubin_types_mixed_BM_l0.3_r0_mcar0.3_n300_M20_s77",300,0.3,0,77,FALSE,1,0.70849898925215,32.6491101419166,1600,0.00495294700346706,""
