"contrast","measure","n","lambda","rho","trait","diff","se","datasets"
"freqA - freqA_er","accuracy",100,0.7,0.5,"ord",0.033625,0.00619324524312908,200
"freqA - freqA_er","accuracy",100,1,0,"bin",0.00261261261261261,0.00162213836045975,185
"freqA - freqA_er","accuracy",100,1,0,"cat3",-0.0044839255499154,0.00205101774244432,197
"freqA - freqA_er","accuracy",100,1,0,"ord",-0.00983333333333333,0.00287023948597807,200
"freqA - freqA_er","accuracy",100,1,0.5,"bin",0.00245901639344262,0.0016105683163206,183
"freqA - freqA_er","accuracy",100,1,0.5,"cat3",-0.00188034188034188,0.00194181742038274,195
"freqA - freqA_er","accuracy",100,1,0.5,"ord",-0.00636111111111113,0.00264049291518903,200
"freqA - freqA_er","accuracy",300,0.3,0,"bin",0.0696388888888889,0.006411199301798,200
"freqA - freqA_er","accuracy",300,0.3,0,"cat3",0.0705,0.00703570851036475,200
"freqA - freqA_er","accuracy",300,0.3,0,"ord",0.0101111111111111,0.00418288590037339,200
"freqA - freqA_er","accuracy",300,0.3,0.5,"bin",0.0767222222222222,0.00643552758221831,200
"freqA - freqA_er","accuracy",300,0.3,0.5,"cat3",0.0746666666666667,0.0065112681324835,200
"freqA - freqA_er","accuracy",300,0.3,0.5,"ord",0.00634259259259259,0.00408479730818415,200
"freqA - freqA_er","accuracy",300,0.7,0,"bin",0.031,0.00463697983433118,200
"freqA - freqA_er","accuracy",300,0.7,0,"cat3",0.0664166666666667,0.00602861652687546,200
"freqA - freqA_er","accuracy",300,0.7,0,"ord",0.0190833333333333,0.00445694020683858,200
"freqA - freqA_er","accuracy",300,0.7,0.5,"bin",0.0450277777777778,0.00634829766743783,200
"freqA - freqA_er","accuracy",300,0.7,0.5,"cat3",0.0690555555555556,0.00670997356697906,200
"freqA - freqA_er","accuracy",300,0.7,0.5,"ord",0.0270138888888889,0.0051926885198965,200
"freqA - freqA_er","accuracy",300,1,0,"bin",-0.00125448028673835,0.000687212417665197,186
"freqA - freqA_er","accuracy",300,1,0,"cat3",-0.000878684807256237,0.000917352425543109,196
"freqA - freqA_er","accuracy",300,1,0,"ord",0.000111669458403129,0.00091803295328481,199
"freqA - freqA_er","accuracy",300,1,0.5,"bin",-0.00114114114114114,0.000661216812998645,185
"freqA - freqA_er","accuracy",300,1,0.5,"cat3",-0.00103815937149271,0.000799632689501604,198
"freqA - freqA_er","accuracy",300,1,0.5,"ord",-2.79173646007785e-05,0.00108584527856755,199
"freqA - freqA_er","brier",100,0.3,0,"bin",-0.0230116666666667,0.00590963752016699,200
"freqA - freqA_er","brier",100,0.3,0,"cat3",-0.0128191666666667,0.00647845533697521,200
"freqA - freqA_er","brier",100,0.3,0,"ord",0.00362083333333333,0.00437909590314603,200
"freqA - freqA_er","brier",100,0.3,0.5,"bin",-0.0149066666666667,0.00598648564562378,200
"freqA - freqA_er","brier",100,0.3,0.5,"cat3",-0.0132591666666667,0.0059283013331542,200
"freqA - freqA_er","brier",100,0.3,0.5,"ord",0.0060975,0.00462308621238709,200
"freqA - freqA_er","brier",100,0.7,0,"bin",-0.0271791666666667,0.0056965495616952,200
"freqA - freqA_er","brier",100,0.7,0,"cat3",-0.0519816666666667,0.00561622698700063,200
"freqA - freqA_er","brier",100,0.7,0,"ord",-0.0218808333333333,0.00501256731311781,200
"freqA - freqA_er","brier",100,0.7,0.5,"bin",-0.0149566666666667,0.00514160035548486,200
"freqA - freqA_er","brier",100,0.7,0.5,"cat3",-0.0508741666666667,0.00600150101007682,200
"freqA - freqA_er","brier",100,0.7,0.5,"ord",-0.0327166666666667,0.00501237469228256,200
"freqA - freqA_er","brier",100,1,0,"bin",0.000545045045045045,0.00180610691859655,185
"freqA - freqA_er","brier",100,1,0,"cat3",-0.000669204737732652,0.00241699200879473,197
"freqA - freqA_er","brier",100,1,0,"ord",0.00809416666666667,0.00291837676057542,200
"freqA - freqA_er","brier",100,1,0.5,"bin",0.000131147540983607,0.00185569465734158,183
"freqA - freqA_er","brier",100,1,0.5,"cat3",-0.00102051282051282,0.00261231129433764,195
"freqA - freqA_er","brier",100,1,0.5,"ord",0.00916333333333334,0.00248619245661378,200
"freqA - freqA_er","brier",300,0.3,0,"bin",-0.0315858333333333,0.00417546645299837,200
"freqA - freqA_er","brier",300,0.3,0,"cat3",-0.0311647222222222,0.00432896024055429,200
"freqA - freqA_er","brier",300,0.3,0,"ord",-0.000749444444444445,0.00229673083890426,200
"freqA - freqA_er","brier",300,0.3,0.5,"bin",-0.032679996712689,0.00395862248004862,200
"freqA - freqA_er","brier",300,0.3,0.5,"cat3",-0.0328946482577252,0.00433843137808642,200
"freqA - freqA_er","brier",300,0.3,0.5,"ord",0.000863075279421435,0.00228070116763268,200
"freqA - freqA_er","brier",300,0.7,0,"bin",-0.0201011111111111,0.00312192971600649,200
"freqA - freqA_er","brier",300,0.7,0,"cat3",-0.0626016666666667,0.00443740652473222,200
"freqA - freqA_er","brier",300,0.7,0,"ord",-0.0241016666666667,0.00330077922334945,200
"freqA - freqA_er","brier",300,0.7,0.5,"bin",-0.0292419444444445,0.00438851988528386,200
"freqA - freqA_er","brier",300,0.7,0.5,"cat3",-0.0537233333333333,0.00461304805100311,200
"freqA - freqA_er","brier",300,0.7,0.5,"ord",-0.0253941666666667,0.00299779725047731,200
"freqA - freqA_er","brier",300,1,0,"bin",0.00126851851851852,0.000720590699670951,186
"freqA - freqA_er","brier",300,1,0,"cat3",-0.000765873015873016,0.00119165194279724,196
"freqA - freqA_er","brier",300,1,0,"ord",0.000130094919039643,0.00102996015891381,199
"freqA - freqA_er","brier",300,1,0.5,"bin",0.00125135135135135,0.000661199136779438,185
"freqA - freqA_er","brier",300,1,0.5,"cat3",0.000559483726150393,0.00104976997017042,198
"freqA - freqA_er","brier",300,1,0.5,"ord",-0.000628419877163595,0.00114642141341715,199
"freqB - freqB_er","accuracy",100,0.3,0,"bin",0.0655833333333333,0.0100487904525324,200
"freqB - freqB_er","accuracy",100,0.3,0,"cat3",0.0658333333333333,0.00856279559801459,200
"freqB - freqB_er","accuracy",100,0.3,0,"ord",-0.000249999999999997,0.00725386033954829,200
"freqB - freqB_er","accuracy",100,0.3,0.5,"bin",0.043,0.0099778929284702,200
"freqB - freqB_er","accuracy",100,0.3,0.5,"cat3",0.0666666666666667,0.00906502965810928,200
"freqB - freqB_er","accuracy",100,0.3,0.5,"ord",0.00469444444444445,0.0067081053809994,200
"freqB - freqB_er","accuracy",100,0.7,0,"bin",0.0439166666666667,0.00833766847038516,200
"freqB - freqB_er","accuracy",100,0.7,0,"cat3",0.0711666666666667,0.00778040854447425,200
"freqB - freqB_er","accuracy",100,0.7,0,"ord",0.0197222222222222,0.00606621496120772,200
"freqB - freqB_er","accuracy",100,0.7,0.5,"bin",0.0313333333333333,0.0073027380652452,200
"freqB - freqB_er","accuracy",100,0.7,0.5,"cat3",0.057,0.00910295354600627,200
"freqB - freqB_er","accuracy",100,0.7,0.5,"ord",0.0239166666666667,0.00754753609082118,200
"freqB - freqB_er","accuracy",100,1,0,"bin",0.000360360360360362,0.00164079387583217,185
"freqB - freqB_er","accuracy",100,1,0,"cat3",-0.000338409475465313,0.00190777872821991,197
"freqB - freqB_er","accuracy",100,1,0,"ord",-0.00416666666666667,0.00299298920249904,200
"freqB - freqB_er","accuracy",100,1,0.5,"bin",0.00182149362477231,0.0017226583496309,183
"freqB - freqB_er","accuracy",100,1,0.5,"cat3",-0.00316239316239317,0.00273132291759174,195
"freqB - freqB_er","accuracy",100,1,0.5,"ord",-0.00133333333333333,0.00278676380137346,200
"freqB - freqB_er","accuracy",300,0.3,0,"bin",0.0809166666666667,0.00690758812569556,200
"freqB - freqB_er","accuracy",300,0.3,0,"cat3",0.0787222222222222,0.0067705600418725,200
"freqB - freqB_er","accuracy",300,0.3,0,"ord",0.00718055555555555,0.00399161027029923,200
"freqB - freqB_er","accuracy",300,0.3,0.5,"bin",0.0736944444444445,0.00646679223362829,200
"freqB - freqB_er","accuracy",300,0.3,0.5,"cat3",0.0777777777777778,0.00678747784159108,200
"freqB - freqB_er","accuracy",300,0.3,0.5,"ord",-0.00303703703703703,0.00452677082329332,200
"freqB - freqB_er","accuracy",300,0.7,0,"bin",0.0349166666666667,0.00534909172435614,200
"freqB - freqB_er","accuracy",300,0.7,0,"cat3",0.0762777777777778,0.00633990152814398,200
"freqB - freqB_er","accuracy",300,0.7,0,"ord",0.0210046296296296,0.00476075056558038,200
"freqB - freqB_er","accuracy",300,0.7,0.5,"bin",0.0466666666666667,0.00651666820176454,200
"freqB - freqB_er","accuracy",300,0.7,0.5,"cat3",0.0844722222222222,0.00695064463583422,200
"freqB - freqB_er","accuracy",300,0.7,0.5,"ord",0.020875,0.00480389855045477,200
"freqB - freqB_er","accuracy",300,1,0,"bin",-0.000627240143369176,0.000483500084490921,186
"freqB - freqB_er","accuracy",300,1,0,"cat3",-0.000396825396825401,0.000793141879976374,196
"freqB - freqB_er","accuracy",300,1,0,"ord",-0.00187046342825238,0.00101393112854432,199
"freqB - freqB_er","accuracy",300,1,0.5,"bin",-0.00036036036036036,0.000587924395623814,185
"freqB - freqB_er","accuracy",300,1,0.5,"cat3",-0.000561167227833895,0.000796605867465896,198
"freqB - freqB_er","accuracy",300,1,0.5,"ord",-0.00161920714684534,0.000903053835437279,199
"freqB - freqB_er","brier",100,0.3,0,"bin",-0.027685,0.00657982369290425,200
"freqB - freqB_er","brier",100,0.3,0,"cat3",-0.0185266666666667,0.00647739459654515,200
"freqB - freqB_er","brier",100,0.3,0,"ord",0.00811333333333334,0.00435188654163285,200
"freqB - freqB_er","brier",100,0.3,0.5,"bin",-0.0118583333333333,0.00625763818580407,200
"freqB - freqB_er","brier",100,0.3,0.5,"cat3",-0.0162575,0.00618232696184673,200
"freqB - freqB_er","brier",100,0.3,0.5,"ord",0.0084875,0.00426625474637878,200
"freqB - freqB_er","brier",100,0.7,0,"bin",-0.0271016666666667,0.00583555745945891,200
"freqB - freqB_er","brier",100,0.7,0,"cat3",-0.0503991666666667,0.00611328402916967,200
"freqB - freqB_er","brier",100,0.7,0,"ord",-0.01843,0.00516293137251913,200
"freqB - freqB_er","brier",100,0.7,0.5,"bin",-0.0205941666666667,0.00535697956013249,200
"freqB - freqB_er","brier",100,0.7,0.5,"cat3",-0.0485383333333333,0.00616041068767911,200
"freqB - freqB_er","brier",100,0.7,0.5,"ord",-0.0229225,0.0058619073885667,200
"freqB - freqB_er","brier",100,1,0,"bin",0.000451351351351354,0.00178586580808499,185
"freqB - freqB_er","brier",100,1,0,"cat3",-0.00599576988155669,0.00230211121155078,197
"freqB - freqB_er","brier",100,1,0,"ord",0.00295333333333333,0.00273140895202548,200
"freqB - freqB_er","brier",100,1,0.5,"bin",-0.00174134790528233,0.00182794583723523,183
"freqB - freqB_er","brier",100,1,0.5,"cat3",9.74358974358983e-05,0.00275879699211822,195
"freqB - freqB_er","brier",100,1,0.5,"ord",0.00313083333333333,0.00266147942865664,200
"freqB - freqB_er","brier",300,0.3,0,"bin",-0.0374802777777778,0.00424209703566387,200
"freqB - freqB_er","brier",300,0.3,0,"cat3",-0.0324763888888889,0.0042500086021433,200
"freqB - freqB_er","brier",300,0.3,0,"ord",0.000878055555555564,0.00236001218218838,200
"freqB - freqB_er","brier",300,0.3,0.5,"bin",-0.0320908333333333,0.00417490132084084,200
"freqB - freqB_er","brier",300,0.3,0.5,"cat3",-0.0320563888888889,0.0043591718185586,200
"freqB - freqB_er","brier",300,0.3,0.5,"ord",0.0078211111111111,0.00254933345909775,200
"freqB - freqB_er","brier",300,0.7,0,"bin",-0.0211502777777778,0.00375580060497934,200
"freqB - freqB_er","brier",300,0.7,0,"cat3",-0.064795,0.0046041439697933,200
"freqB - freqB_er","brier",300,0.7,0,"ord",-0.02031,0.00349362987170955,200
"freqB - freqB_er","brier",300,0.7,0.5,"bin",-0.0263213888888889,0.00463160817557597,200
"freqB - freqB_er","brier",300,0.7,0.5,"cat3",-0.0605619444444444,0.0046596089743686,200
"freqB - freqB_er","brier",300,0.7,0.5,"ord",-0.0196805555555556,0.00320194952009922,200
"freqB - freqB_er","brier",300,1,0,"bin",0.000606630824372759,0.00064349815659476,186
"freqB - freqB_er","brier",300,1,0,"cat3",-0.00111111111111111,0.000926034995611056,196
"freqB - freqB_er","brier",300,1,0,"ord",-0.000195421552205471,0.00101068373886508,199
"freqB - freqB_er","brier",300,1,0.5,"bin",0.000346846846846847,0.000688516153893997,185
"freqB - freqB_er","brier",300,1,0.5,"cat3",-0.000164983164983165,0.000981507352752172,198
"freqB - freqB_er","brier",300,1,0.5,"ord",0.000450865438302624,0.00118279811827771,199
