"contrast","measure","n","lambda","rho","trait","diff","se","datasets"
"bace_chain - freqA","brier",300,0.3,0.5,"bin",-0.124595287639711,0.00429712207686665,200
"bace_chain - freqA","brier",300,0.3,0.5,"cat3",-0.10785188319027,0.0042365929342669,200
"bace_chain - freqA","brier",300,0.3,0.5,"ord",-0.118085923734385,0.00352234931690737,200
"bace_chain - freqA","brier",300,0.7,0,"bin",-0.0816691666666667,0.00501852929172095,200
"bace_chain - freqA","brier",300,0.7,0,"cat3",-0.0798798256374879,0.00452834267235064,200
"bace_chain - freqA","brier",300,0.7,0,"ord",-0.102620277777778,0.00477477714354332,200
"bace_chain - freqA","brier",300,0.7,0.5,"bin",-0.115619444444444,0.00552899699734948,200
"bace_chain - freqA","brier",300,0.7,0.5,"cat3",-0.123959360449885,0.00464493057217631,200
"bace_chain - freqA","brier",300,0.7,0.5,"ord",-0.142018888888889,0.00456031185024387,200
"bace_chain - freqA","brier",300,1,0,"bin",-0.000351957070707072,0.00150228298893754,176
"bace_chain - freqA","brier",300,1,0,"cat3",-0.00171545661528894,0.00156247087799385,185
"bace_chain - freqA","brier",300,1,0,"ord",-0.00132683215130024,0.00186532272041431,188
"bace_chain - freqA","brier",300,1,0.5,"bin",-0.00176893939393939,0.00157945157015065,176
"bace_chain - freqA","brier",300,1,0.5,"cat3",-0.00433149803654786,0.0016663671985634,188
"bace_chain - freqA","brier",300,1,0.5,"ord",-0.0105311581422693,0.00249144206307831,189
"bace - freqA","accuracy",100,0.3,0,"bin",0.0626666666666667,0.00835778656792024,200
"bace - freqA","accuracy",100,0.3,0,"cat3",0.0542222222222222,0.0084798436671699,200
"bace - freqA","accuracy",100,0.3,0,"ord",0.0580138888888889,0.00789882910911836,200
"bace - freqA","accuracy",100,0.3,0.5,"bin",0.10425,0.00876996605343759,200
"bace - freqA","accuracy",100,0.3,0.5,"cat3",0.0955555555555555,0.00814452019803238,200
"bace - freqA","accuracy",100,0.3,0.5,"ord",0.0922916666666667,0.00787127335636197,200
"bace - freqA","accuracy",100,0.7,0,"bin",0.0261666666666667,0.00776945694336889,200
"bace - freqA","accuracy",100,0.7,0,"cat3",0.0400833333333333,0.00710169558083394,200
"bace - freqA","accuracy",100,0.7,0,"ord",0.0400416666666667,0.00706940276024081,200
"bace - freqA","accuracy",100,0.7,0.5,"bin",0.0528333333333333,0.0075790179522918,200
"bace - freqA","accuracy",100,0.7,0.5,"cat3",0.0729722222222222,0.00858205753240716,200
"bace - freqA","accuracy",100,0.7,0.5,"ord",0.0688888888888889,0.00743551282167364,200
"bace - freqA","accuracy",100,1,0,"bin",-0.0220616570327553,0.00373437811491721,173
"bace - freqA","accuracy",100,1,0,"cat3",-0.0162416514875531,0.00389067434363979,183
"bace - freqA","accuracy",100,1,0,"ord",-0.0131123058542413,0.00393998319106305,186
"bace - freqA","accuracy",100,1,0.5,"bin",-0.0132258064516129,0.00360922485826149,155
"bace - freqA","accuracy",100,1,0.5,"cat3",-0.0174410774410774,0.00403094551368207,165
"bace - freqA","accuracy",100,1,0.5,"ord",-0.00522875816993465,0.00423732951730652,170
"bace - freqA","accuracy",300,0.3,0,"bin",0.0944444444444445,0.00586267248937397,200
"bace - freqA","accuracy",300,0.3,0,"cat3",0.0919166666666667,0.0055209415120613,200
"bace - freqA","accuracy",300,0.3,0,"ord",0.0865324074074074,0.00509821440498029,200
"bace - freqA","accuracy",300,0.3,0.5,"bin",0.129944444444444,0.00570795845738432,200
"bace - freqA","accuracy",300,0.3,0.5,"cat3",0.130055555555556,0.00582474441471409,200
"bace - freqA","accuracy",300,0.3,0.5,"ord",0.142837962962963,0.0049537199127078,200
"bace - freqA","accuracy",300,0.7,0,"bin",0.0634444444444444,0.00612927608382458,200
"bace - freqA","accuracy",300,0.7,0,"cat3",0.0776666666666667,0.00597261467553456,200
"bace - freqA","accuracy",300,0.7,0,"ord",0.0931712962962963,0.0058383955443227,200
"bace - freqA","accuracy",300,0.7,0.5,"bin",0.0846944444444445,0.00619673750037981,200
"bace - freqA","accuracy",300,0.7,0.5,"cat3",0.1125,0.00623531838477504,200
"bace - freqA","accuracy",300,0.7,0.5,"ord",0.14037962962963,0.00559414828397734,200
"bace - freqA","accuracy",300,1,0,"bin",-0.00179924242424243,0.00114598053089563,176
"bace - freqA","accuracy",300,1,0,"cat3",-0.00255255255255256,0.00142956684559597,185
"bace - freqA","accuracy",300,1,0,"ord",-0.00363475177304965,0.00172223114192667,188
"bace - freqA","accuracy",300,1,0.5,"bin",-0.00152933832709113,0.00122726969322397,178
"bace - freqA","accuracy",300,1,0.5,"cat3",-0.00287524366471735,0.00137213435591913,190
"bace - freqA","accuracy",300,1,0.5,"ord",0.00238510762070971,0.00189016534735157,191
"bace - freqA","brier",100,0.3,0,"bin",0.0121908333333333,0.00915874733271394,200
"bace - freqA","brier",100,0.3,0,"cat3",0.0420112202564487,0.00868468554074544,200
"bace - freqA","brier",100,0.3,0,"ord",-0.00458833333333335,0.00749550841774832,200
"bace - freqA","brier",100,0.3,0.5,"bin",-0.0279175,0.0100346608273254,200
"bace - freqA","brier",100,0.3,0.5,"cat3",-0.0057761200522313,0.00818406413736812,200
"bace - freqA","brier",100,0.3,0.5,"ord",-0.0387875,0.00781801247173702,200
"bace - freqA","brier",100,0.7,0,"bin",-0.00717,0.00835729945375223,200
"bace - freqA","brier",100,0.7,0,"cat3",0.0038184735098624,0.00756171356886014,200
"bace - freqA","brier",100,0.7,0,"ord",-0.025065,0.0066961010378754,200
"bace - freqA","brier",100,0.7,0.5,"bin",-0.0486358333333333,0.00794239186934424,200
"bace - freqA","brier",100,0.7,0.5,"cat3",-0.0417016390321825,0.00831625747605128,200
"bace - freqA","brier",100,0.7,0.5,"ord",-0.0542866666666667,0.00731370471137907,200
"bace - freqA","brier",100,1,0,"bin",0.0249556840077071,0.00461675892522605,173
"bace - freqA","brier",100,1,0,"cat3",0.0175028389563683,0.00420347325805988,183
"bace - freqA","brier",100,1,0,"ord",0.0140304659498208,0.00416977562835751,186
"bace - freqA","brier",100,1,0.5,"bin",0.00982043010752688,0.00481725883880243,155
"bace - freqA","brier",100,1,0.5,"cat3",0.0163508623310494,0.0053373913547987,165
"bace - freqA","brier",100,1,0.5,"ord",-0.00198333333333333,0.00462878890833638,170
"bace - freqA","brier",300,0.3,0,"bin",-0.0570216666666667,0.0053322323709803,200
"bace - freqA","brier",300,0.3,0,"cat3",-0.0537433333333333,0.00408422836774412,200
"bace - freqA","brier",300,0.3,0,"ord",-0.0526597222222222,0.00389303744856773,200
"bace - freqA","brier",300,0.3,0.5,"bin",-0.1041716765286,0.00485782366727752,200
"bace - freqA","brier",300,0.3,0.5,"cat3",-0.0996589756900424,0.00451540153104807,200
"bace - freqA","brier",300,0.3,0.5,"ord",-0.107493979289941,0.00382321460579839,200
"bace - freqA","brier",300,0.7,0,"bin",-0.0654963888888889,0.00541322102719884,200
"bace - freqA","brier",300,0.7,0,"cat3",-0.0699308258979084,0.00460271863835003,200
"bace - freqA","brier",300,0.7,0,"ord",-0.0902227777777778,0.00468028926834648,200
"bace - freqA","brier",300,0.7,0.5,"bin",-0.101509166666667,0.00538692934920929,200
"bace - freqA","brier",300,0.7,0.5,"cat3",-0.119253068931757,0.00469725132359872,200
"bace - freqA","brier",300,0.7,0.5,"ord",-0.133266111111111,0.00450598890085475,200
"bace - freqA","brier",300,1,0,"bin",0.000601641414141413,0.0015538152785417,176
"bace - freqA","brier",300,1,0,"cat3",-0.000987363953531987,0.00173002631625772,185
"bace - freqA","brier",300,1,0,"ord",-0.00248020094562648,0.0017931685288219,188
"bace - freqA","brier",300,1,0.5,"bin",-0.000439138576779027,0.00156784096673267,178
"bace - freqA","brier",300,1,0.5,"cat3",-0.00454609902881088,0.00174794554569322,190
"bace - freqA","brier",300,1,0.5,"ord",-0.0109470622454916,0.00241690730297447,191
"bace_chain - bace","accuracy",100,0.3,0,"bin",0.000250000000000004,0.00486770470905556,200
"bace_chain - bace","accuracy",100,0.3,0,"cat3",-0.000666666666666669,0.004402291729006,200
"bace_chain - bace","accuracy",100,0.3,0,"ord",-0.00109722222222222,0.00535435850458833,200
"bace_chain - bace","accuracy",100,0.3,0.5,"bin",-0.00466666666666667,0.00440350350339488,200
"bace_chain - bace","accuracy",100,0.3,0.5,"cat3",-0.000694444444444446,0.00499145269497807,200
"bace_chain - bace","accuracy",100,0.3,0.5,"ord",0.00754166666666666,0.00493063183621524,200
"bace_chain - bace","accuracy",100,0.7,0,"bin",0.0154166666666667,0.00397145295600966,200
"bace_chain - bace","accuracy",100,0.7,0,"cat3",0.00594444444444445,0.00434215590297319,200
"bace_chain - bace","accuracy",100,0.7,0,"ord",0.00637499999999999,0.00538543975671664,200
"bace_chain - bace","accuracy",100,0.7,0.5,"bin",0.00816666666666667,0.00345463945731116,200
"bace_chain - bace","accuracy",100,0.7,0.5,"cat3",0.00527777777777778,0.00423332131639293,200
"bace_chain - bace","accuracy",100,0.7,0.5,"ord",-0.00468055555555555,0.00470896657845959,200
"bace_chain - bace","accuracy",100,1,0,"bin",0.00666666666666667,0.00261783814173727,170
