"contrast","measure","n","lambda","diff","se","datasets"
"freqA - bace_chain","cor",1000,0.3,-0.025,0.0131430093002835,200
"freqA - bace_chain","cor",100,0.7,-0.00750000000000004,0.0119987206920411,400
"freqA - bace_chain","cor",300,0.7,0.0175,0.0089825436389457,400
"freqA - bace_chain","cor",1000,0.7,-0.0251256281407035,0.0132086179029703,199
"freqA - bace_chain","cor",100,1,-0.0230547550432277,0.0107270792877152,347
"freqA - bace_chain","cor",300,1,-0.0184696569920845,0.00947841649078641,379
"freqA - bace_chain","cor",1000,1,-0.0105263157894737,0.0182642408615117,190
"freqA - bace","cor",100,0.3,0.0275,0.0138686778592593,400
"freqA - bace","cor",300,0.3,0.0601503759398496,0.0138714878326742,399
"freqA - bace","cor",1000,0.3,0.065,0.0213578037001578,200
"freqA - bace","cor",100,0.7,0.035,0.0135977847230141,400
"freqA - bace","cor",300,0.7,0.0874999999999999,0.0150057424262983,400
"freqA - bace","cor",1000,0.7,0.100502512562814,0.0256828719558681,199
"freqA - bace","cor",100,1,-0.0141643059490086,0.0116723756861227,353
"freqA - bace","cor",300,1,0.0236842105263158,0.0114212986905033,380
"freqA - bace","cor",1000,1,-0.0210526315789473,0.0210526315789473,190
