"arm","n","lambda","coverage","coverage_se","width","width_se","zrmse","zrmse_se","iscore","iscore_se","width_median","datasets"
"bace",100,0.3,0.879875,0.00294458753652085,3.22435430906417,0.0200647905908784,0.988722107828167,0.00817454377920559,5.63487480669159,0.0901216361912182,3.21158554992304,400
"bace_chain",100,0.3,0.946458333333333,0.00162271705196671,3.74015089465068,0.0186233859040192,0.896312098415391,0.00615530508644241,4.55294982585714,0.0386105155201707,3.72778566596056,400
"bace_resid",100,0.3,0.947208333333333,0.00198494819054079,4.22112500110109,0.0271917784417395,0.996976245258717,0.00822302205490936,5.3073807053557,0.0634603091213554,4.21195422714483,400
"freqA",100,0.3,0.938375,0.00171930124258089,3.46989682845131,0.0150711595741337,0.870774035172342,0.00570624414486356,4.37629189147034,0.0361770635955753,3.49562065851024,400
"freqB",100,0.3,0.935125,0.00166686376236437,3.45144286098795,0.0147248721102704,0.871011886224318,0.00572021099682536,4.40581364082171,0.03808095561906,3.47667187764972,400
"bace",300,0.3,0.899013888888889,0.00168193585133918,3.05705474154194,0.0124132215472572,0.910923073345474,0.00620622967161384,4.97823342245708,0.0605698922682016,3.0583803640341,400
"bace_chain",300,0.3,0.946347222222222,0.000938244171264093,3.43005269279951,0.0145323613209857,0.836510632850814,0.00409031093806039,4.16661970377422,0.0229874002562674,3.43454610499741,400
"bace_resid",300,0.3,0.965777777777778,0.000974210283848335,4.19281411887607,0.0174327604376924,0.922842009182498,0.00622989849125045,4.92107487845735,0.0410948073940703,4.20220964923124,400
"freqA",300,0.3,0.945377332219438,0.000915644657181106,3.46174882049989,0.0129025246868908,0.853577456578164,0.00382145522797837,4.21037538132055,0.0207691448757487,3.45212262811036,399
"freqB",300,0.3,0.945140629351156,0.00090711283602114,3.45964600020792,0.0127113427033061,0.853370936314253,0.00389644390349109,4.20527948881678,0.0222389830782856,3.46773387300087,399
"bace",1000,0.3,0.912925,0.00167841327434167,3.0150300826212,0.0128183200666092,0.861783897251774,0.00770429535954747,4.60282802439544,0.0642700741572893,3.01086554817207,200
"bace_chain",1000,0.3,0.949583333333333,0.000730291964896358,3.31560859320855,0.0178830998791089,0.804368749472354,0.00477896625922028,3.97875340039483,0.0249022338747121,3.28950904159465,200
"bace_resid",1000,0.3,0.974116666666667,0.000868030591489163,4.2053043789001,0.0178850163188104,0.874790588331369,0.00766550029063161,4.75277090995783,0.0403357880782438,4.18135155083053,200
"freqA",1000,0.3,0.949327485380117,0.000521001688137712,3.43495710275117,0.0123468326634459,0.832649365772317,0.00336950306336215,4.11387842115514,0.017341132530203,3.43471686283093,399
"freqB",1000,0.3,0.949782790309106,0.000492332912800574,3.4392797654988,0.0124766251643558,0.832085484914035,0.00341139818043557,4.09965266056454,0.0175935921303076,3.43576359859875,399
"bace",100,0.7,0.887625,0.00280928585023028,2.69485794551361,0.0247697009979739,0.79933522418173,0.00787470988828483,4.50641143755441,0.0669105181820515,2.69947502551662,400
"bace_chain",100,0.7,0.948041666666667,0.00157622039240224,3.13124314279004,0.0257626790966894,0.736329891418449,0.00689649752189488,3.79265260197712,0.0385506931765045,3.14136776740562,400
