"arm","n","lambda","rho","estimand","coverage","coverage_se","bias","bias_se","rmse","bias_vs_complete","ci_width","fmi_median","datasets"
"bace",1000,1,0,"cor",0.926315789473684,0.0269465285423427,-0.0163312105576127,0.00486934001671858,0.0499549079163226,-0.0190316973987392,0.182284030657648,0.448866311586753,95
"bace_chain",1000,1,0,"cor",0.968421052631579,0.0180371122881979,-0.00553090328443583,0.00487361658741483,0.0475740677618336,-0.0082313901255623,0.220283365635319,0.509039975285483,95
"bace_resid",1000,1,0,"cor",0.957894736842105,0.0207139612627491,-0.0152000186590504,0.00476159465488844,0.0486033150210654,-0.0179005055001769,0.180930917243599,0.44028987203415,95
"complete",1000,1,0,"cor",0.95,0.0154497076780334,0.00353116535169125,0.0022770237756925,0.0323148842869614,-1.70490791623346e-19,0.123857188214787,0,200
"freqA",1000,1,0,"cor",0.99,0.00705327893384296,-0.0035265073400629,0.00286312544523288,0.0405430170279959,-0.00705767269174922,0.169964739046508,0.46492353005867,200
"freqB",1000,1,0,"cor",0.96,0.0138911779241576,-0.00428705714706992,0.0029364630602417,0.0416451570354933,-0.00781822249875623,0.151765228136823,0.329476764271351,200
"bace",100,0.3,0.5,"cor",0.925,0.0186713173196821,-0.0143995667349635,0.00808373367747493,0.114940640356903,-0.0165743794951252,0.390406124986506,0.402564802419018,200
"bace_chain",100,0.3,0.5,"cor",0.96,0.0138911779241576,-0.0277461066039295,0.00731159061207758,0.106809449629338,-0.0299209193640912,0.427937207763022,0.470008801348995,200
"bace_resid",100,0.3,0.5,"cor",0.93,0.0180868924470722,-0.0637135382039808,0.00763535578893085,0.125143309438254,-0.0658883509641425,0.422797457841048,0.428158405675734,200
"complete",100,0.3,0.5,"cor",0.91,0.0202868871181541,0.0021748127601617,0.00594207318811635,0.0838514658867397,-2.77555756156286e-18,0.293844444733171,0,200
"freqA",100,0.3,0.5,"cor",0.955,0.014695399751941,0.00806923955504091,0.00745617790733443,0.10549140171206,0.00589442679529923,0.401290040630826,0.472023098549515,200
"freqB",100,0.3,0.5,"cor",0.9,0.0212664361502501,0.00739336613403084,0.00754234014658416,0.106654366742577,0.00521855337428916,0.350399231373884,0.30232818492502,200
