"arm","n","coverage","coverage_se","width","width_se","zrmse","zrmse_se","iscore","iscore_se","width_median","datasets"
"bace",100,0.901286498988147,0.00172666736779462,2.3399755713792,0.030761265552344,0.704597955356856,0.00972081775444809,3.88609230355183,0.0672591006924528,2.67884026083774,1153
"bace_chain",100,0.953865155478059,0.000931084467702213,2.72263846995718,0.0350972943397712,0.64546280390369,0.0086716794684886,3.27764946325057,0.0458789247416757,3.15604006368823,1147
"bace_resid",100,0.946978895634576,0.00114702182246769,2.95706693473045,0.0430363242670725,0.709961148560365,0.00982210642229772,3.70617237843313,0.0580192287410829,3.4461506957658,1153
"freqA",100,0.941291666666667,0.000977319846763434,2.35984358558606,0.0343244815723555,0.602954936280483,0.00851234786526159,2.99265537723921,0.0454290571437334,2.80258428604038,1200
"freqB",100,0.939097222222222,0.000968398277651292,2.35013087683188,0.0341406536558825,0.60352778904475,0.00851819853826691,3.01015334450655,0.0459752648065164,2.81170212260085,1200
"bace",300,0.917335216572505,0.00106434488434787,2.05132902007581,0.0327900785765174,0.604135571271778,0.00977670665475352,3.18241828669957,0.0588339851852377,2.53089985709429,1180
"bace_chain",300,0.950504193761191,0.000572859787545764,2.29046715772292,0.0370931568959403,0.564602078231647,0.00884644081320811,2.77269124850313,0.0456942096906217,2.82999600283298,1179
"bace_resid",300,0.962321092278719,0.000589477763167848,2.74021611757705,0.046978669983361,0.61153277254398,0.0099221885788255,3.17464243905987,0.0557846085417184,3.42942807939599,1180
"freqA",300,0.948582151793161,0.00054611328297301,2.25597466751794,0.0376876318973771,0.564256410727,0.00905518191575924,2.74853233281926,0.0460959778616721,2.82451841789513,1199
"freqB",300,0.94873969048281,0.000546435631486013,2.25476660026835,0.0376552659717659,0.564027118988608,0.00905495706505339,2.74449105729592,0.0461894772864587,2.82990787170743,1199
"bace",1000,0.925477401129943,0.00107633664201007,1.92330900475255,0.0491262375997336,0.547990528411266,0.0141202101026041,2.85772565569105,0.0792691939321039,2.43974123539264,590
"bace_chain",1000,0.951762711864407,0.000438726335360546,2.11466733636765,0.0545852086367938,0.517913822849312,0.0130172492289945,2.53489830235758,0.0657558315039852,2.68156858290048,590
"bace_resid",1000,0.968395480225989,0.000596994180263128,2.64174425330814,0.0701906961575329,0.555961854536036,0.0143435815262024,2.9628520608669,0.0795509838343966,3.38474445155307,590
"freqA",1000,0.952589037284363,0.000310584350398691,2.14623651117386,0.040011139471202,0.524713520500079,0.00955238193149374,2.57134654702566,0.0480016648475668,2.74141948523777,1198
"freqB",1000,0.952687813021703,0.000305047185448357,2.14889911078087,0.0400737284857191,0.524283052280424,0.00955528567314073,2.56168464251225,0.0478460493374051,2.74788730593799,1198
