"dgp","n","lambda","rho","evo","miss","frac","trait","arm","n_reps","n_cells","ece","ece_mcse"
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","freq",200,6000,0.0957673164564221,0.00736715843190239
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","freq",200,18000,0.0797349405916938,0.00586457457530005
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"bin","freq",200,60000,0.0794633904124028,0.00429373495563513
"types_mixed",100,1,0.5,"BM","mcar",0.3,"bin","freq",200,6000,0.0171645547832875,0.00337553477845014
"types_mixed",300,1,0.5,"BM","mcar",0.3,"bin","freq",200,18000,0.00714222629664893,0.00128823552706238
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"bin","freq",200,60000,0.00489793358657709,0.00056024218282747
"types_mixed",100,0.3,0,"BM","mcar",0.3,"bin","freq_lambda",200,6000,0.0695536798123005,0.0077243119797469
"types_mixed",300,0.3,0,"BM","mcar",0.3,"bin","freq_lambda",200,18000,0.0504027002331639,0.00482978276252976
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"bin","freq_lambda",200,60000,0.0508500566763426,0.0047788903505508
"types_mixed",100,0.7,0,"BM","mcar",0.3,"bin","freq_lambda",200,6000,0.0984470472964834,0.00798035509755435
"types_mixed",300,0.7,0,"BM","mcar",0.3,"bin","freq_lambda",200,18000,0.0792064111466934,0.00559279559694261
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"bin","freq_lambda",200,60000,0.0871347307535816,0.00425034899063606
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","freq_lambda",200,6000,0.0083697204252735,0.00258313330338095
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","freq_lambda",200,18000,0.00811942770823778,0.00134775992546187
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","freq_lambda",200,60000,0.00566533855446105,0.000563437492378639
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","freq_lambda",200,6000,0.0675131962134042,0.00789785460967039
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","freq_lambda",200,18000,0.0499421674331252,0.00576853672649385
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"bin","freq_lambda",200,60000,0.0479006263937265,0.00483244142857259
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"bin","freq_lambda",200,6000,0.094810252167384,0.00653118533006963
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"bin","freq_lambda",200,18000,0.0778686523646674,0.00535857088347804
