"dgp","n","lambda","rho","evo","miss","frac","trait","metric","arm","reference","n_common_seeds","mean_diff","mcse_diff"
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,-0.1,0.0148543244203258
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0.000499999999999999,0.000500000000000001
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",185,-0.0358558558558559,0.00702740364774575
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,-0.0331666666666667,0.00653341494838435
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.208833333333333,0.0122496766670714
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,-0.0376666666666667,0.00678006570019343
"types_mixed",100,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,-0.0396666666666667,0.0066178699925591
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,-0.127333333333333,0.0158921574499034
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,0,0
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,-0.00666666666666667,0.00135053118707088
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.223,0.010986320445234
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,-0.00361111111111111,0.00109405530356491
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,-0.00355555555555555,0.00115158015662182
"types_mixed",300,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",186,-0.00388291517323775,0.00117419936247649
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,-0.0921666666666667,0.0145309279663941
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,-1.66666666666671e-05,1.66666666666671e-05
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,-0.000416666666666667,0.000263059247136814
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,-0.2416,0.0103361686281498
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,-0.003,0.000490558541724368
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",191,-0.000593368237347296,0.000293811977439189
"types_mixed",1000,1,0,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,-0.00065,0.000295789832128523
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,-0.00666666666666667,0.00720986358308224
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.145,0.0126097872308273
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off_rphylopars","freq",200,0.0478333333333333,0.00977861446981066
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on_full","freq",200,0.0466666666666667,0.00973117160088401
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0485,0.00980490169009505
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0445,0.0096946038280883
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,0.041,0.0103719492430278
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","bace","freq",100,0.201888888888889,0.00858204246083652
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","freq_lambda","freq",200,-0.00127777777777777,0.00463319032994955
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_off","freq",200,0.0898888888888889,0.00653992211739326
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","floor","freq",200,0.0867222222222222,0.00706325391046577
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"bin","accuracy","gnn_on","freq",200,0.0904444444444445,0.00652845755990995
