"dgp","n","arm","trait","metric","n_seeds","mean","mcse","coverage","coverage_mcse"
"types_mixed",300,"freq","ord","accuracy",1200,0.556657407407407,0.00807533252404788,NA,NA
"types_mixed",1000,"freq","ord","accuracy",1200,0.588336111111111,0.00816772048105214,NA,NA
"types_mixed",100,"freq_lambda","ord","accuracy",1200,0.553138888888889,0.00765713383793257,NA,NA
"types_mixed",300,"freq_lambda","ord","accuracy",1200,0.556833333333333,0.0080671728734896,NA,NA
"types_mixed",1000,"freq_lambda","ord","accuracy",1200,0.588352777777778,0.00816742830100766,NA,NA
"types_mixed",100,"gnn_off","ord","accuracy",1200,0.56125,0.0077974442160144,NA,NA
"types_mixed",300,"gnn_off","ord","accuracy",1200,0.572620370370371,0.00796254697506647,NA,NA
"types_mixed",1000,"gnn_off","ord","accuracy",1200,0.586697222222222,0.00829901230947468,NA,NA
"types_mixed",100,"gnn_off_rphylopars","ord","accuracy",1200,0.558416666666667,0.0076793968126441,NA,NA
"types_mixed",300,"gnn_off_rphylopars","ord","accuracy",1200,0.570398148148148,0.00788255923713522,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","ord","accuracy",1200,0.587927777777778,0.00822327294159018,NA,NA
"types_mixed",100,"gnn_on","ord","accuracy",1200,0.545805555555556,0.00756784403116896,NA,NA
"types_mixed",300,"gnn_on","ord","accuracy",1200,0.562796296296296,0.0077581732433923,NA,NA
"types_mixed",1000,"gnn_on","ord","accuracy",1200,0.584144444444444,0.00815300343473785,NA,NA
"types_mixed",100,"gnn_on_full","ord","accuracy",1168,0.555622146118722,0.00775468325203732,NA,NA
"types_mixed",300,"gnn_on_full","ord","accuracy",1171,0.56705569788405,0.00790519049237487,NA,NA
"types_mixed",1000,"gnn_on_full","ord","accuracy",1184,0.587018581081081,0.00819215793354015,NA,NA
"types_mixed",100,"bace","bin","brier",597,0.348110347656651,0.0080758860324651,NA,NA
"types_mixed",300,"bace","bin","brier",599,0.293680648775927,0.00650494820322214,NA,NA
"types_mixed",1000,"bace","bin","brier",580,0.248934502697631,0.00636352342882299,NA,NA
"types_mixed",100,"floor","bin","brier",1200,0.406456009070295,0.00419485170332173,NA,NA
"types_mixed",300,"floor","bin","brier",1200,0.394597568657092,0.00385358002440295,NA,NA
"types_mixed",1000,"floor","bin","brier",1200,0.392441811791383,0.0039138265027362,NA,NA
"types_mixed",100,"freq","bin","brier",1200,0.321472850306646,0.00606413014393077,NA,NA
"types_mixed",300,"freq","bin","brier",1200,0.304456920243725,0.00606998465670396,NA,NA
"types_mixed",1000,"freq","bin","brier",1200,0.289628083272607,0.00614848885000708,NA,NA
"types_mixed",100,"freq_lambda","bin","brier",1200,0.321450124223541,0.00606350981589845,NA,NA
"types_mixed",300,"freq_lambda","bin","brier",1200,0.304087360698724,0.00606441140983206,NA,NA
"types_mixed",1000,"freq_lambda","bin","brier",1200,0.289683031197079,0.00614978714216202,NA,NA
"types_mixed",100,"gnn_off","bin","brier",1200,0.333500951640155,0.00493141968322734,NA,NA
"types_mixed",300,"gnn_off","bin","brier",1200,0.304706993650318,0.00483515653099969,NA,NA
"types_mixed",1000,"gnn_off","bin","brier",1200,0.292948099194304,0.00476925385137845,NA,NA
"types_mixed",100,"gnn_off_rphylopars","bin","brier",1200,0.340391231604885,0.0048946536981449,NA,NA
"types_mixed",300,"gnn_off_rphylopars","bin","brier",1200,0.311720709554319,0.00478651162630604,NA,NA
"types_mixed",1000,"gnn_off_rphylopars","bin","brier",1200,0.295920209357861,0.00467636689571946,NA,NA
"types_mixed",100,"gnn_on","bin","brier",1200,0.334645366475694,0.00488597308161162,NA,NA
"types_mixed",300,"gnn_on","bin","brier",1200,0.305763262442207,0.004796033540719,NA,NA
"types_mixed",1000,"gnn_on","bin","brier",1200,0.293634828614728,0.00473979473679137,NA,NA
"types_mixed",100,"gnn_on_full","bin","brier",1168,0.342177226293731,0.00478918186620339,NA,NA
"types_mixed",300,"gnn_on_full","bin","brier",1171,0.312040234120332,0.0047403606352772,NA,NA
"types_mixed",1000,"gnn_on_full","bin","brier",1184,0.296609020990534,0.00472563289036329,NA,NA
"types_mixed",100,"bace","cat3","brier",597,0.518426598511623,0.00959897965325719,NA,NA
"types_mixed",300,"bace","cat3","brier",599,0.436893365932853,0.00813423053674115,NA,NA
"types_mixed",1000,"bace","cat3","brier",580,0.403483187492264,0.00843445127827495,NA,NA
"types_mixed",100,"floor","cat3","brier",1200,0.567978684807256,0.00419985228924209,NA,NA
"types_mixed",300,"floor","cat3","brier",1200,0.546040173847317,0.00422848572486218,NA,NA
"types_mixed",1000,"floor","cat3","brier",1200,0.552894527210884,0.00383070750193235,NA,NA
"types_mixed",100,"freq","cat3","brier",1200,0.474593034842734,0.00742838208301954,NA,NA
"types_mixed",300,"freq","cat3","brier",1200,0.446443232276473,0.00777195868784802,NA,NA
"types_mixed",1000,"freq","cat3","brier",1200,0.437606109140377,0.00813832758981692,NA,NA
"types_mixed",100,"freq_lambda","cat3","brier",1200,0.473693272559649,0.0074228609655977,NA,NA
"types_mixed",300,"freq_lambda","cat3","brier",1200,0.446477506698425,0.00777247314491221,NA,NA
"types_mixed",1000,"freq_lambda","cat3","brier",1200,0.437526526334658,0.00813686578373508,NA,NA
"types_mixed",100,"gnn_off","cat3","brier",1200,0.49973635062427,0.00576341002882457,NA,NA
