"dgp","n","lambda","rho","evo","miss","frac","arm","trait","metric","reps","mean","mcse"
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"freq","bin","accuracy",200,0.5544,0.00683664216984995
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"freq","bin","accuracy",200,0.720666666666667,0.0110618786437466
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"freq","bin","accuracy",200,0.702611111111111,0.011030128527963
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"freq","bin","accuracy",200,0.734333333333333,0.0105512495257669
"types_mixed",100,1,0.5,"BM","mcar",0.3,"freq","bin","accuracy",200,0.9515,0.00438130577712563
"types_mixed",300,1,0.5,"BM","mcar",0.3,"freq","bin","accuracy",200,0.974611111111111,0.00191379691942472
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"freq","bin","accuracy",200,0.987166666666667,0.000976768107194187
"types_mixed",100,0.3,0,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.545666666666667,0.00798976872277536
"types_mixed",300,0.3,0,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.537944444444444,0.00625337057820116
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.552233333333333,0.00653454121743751
"types_mixed",100,0.7,0,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.704333333333333,0.0114701321162808
"types_mixed",300,0.7,0,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.724833333333333,0.0109434524119096
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.73945,0.00986643853860496
"types_mixed",100,1,0,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.956833333333333,0.00382326987252355
"types_mixed",300,1,0,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.974777777777778,0.00218947110816339
"types_mixed",1000,1,0,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.9873,0.00095323071685365
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.545833333333333,0.00803550711847316
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.5315,0.00660908385885971
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.555633333333333,0.00677703408245627
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.718666666666667,0.0113215033341106
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.705722222222222,0.0107826888199202
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.734183333333333,0.0105371109752718
"types_mixed",100,1,0.5,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.9515,0.00438130577712563
"types_mixed",300,1,0.5,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.974611111111111,0.00191379691942472
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"freq_lambda","bin","accuracy",200,0.98715,0.000979236561531185
"types_mixed",100,0.3,0,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.615,0.00884051255300779
"types_mixed",300,0.3,0,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.628388888888889,0.00700150095134505
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.637283333333333,0.0065979743054812
"types_mixed",100,0.7,0,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.726,0.0109518003945301
"types_mixed",300,0.7,0,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.766444444444444,0.00824998707528404
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.774333333333333,0.00700175458587693
"types_mixed",100,1,0,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.923166666666667,0.00767571929311297
"types_mixed",300,1,0,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.971166666666667,0.00240083104395007
"types_mixed",1000,1,0,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.986666666666667,0.000963023806579031
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.597,0.00939008232167412
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.622666666666667,0.00660817444359747
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.640333333333333,0.00669612419876718
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.739833333333333,0.00998238957460622
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.753055555555556,0.00805921286275798
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.772233333333333,0.0077584668542523
"types_mixed",100,1,0.5,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.922833333333333,0.00680172039523887
"types_mixed",300,1,0.5,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.972,0.00228547608943832
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"gnn_off","bin","accuracy",200,0.986283333333333,0.00106336840886684
"types_mixed",100,0.3,0,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.611833333333333,0.00881568034747364
"types_mixed",300,0.3,0,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.627555555555556,0.00690301320365116
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.63695,0.00660451673189378
"types_mixed",100,0.7,0,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.7155,0.010869197175329
"types_mixed",300,0.7,0,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.7435,0.00882507014242933
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.760633333333333,0.00739887680672659
"types_mixed",100,1,0,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.918666666666667,0.00767732854151354
"types_mixed",300,1,0,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.971222222222222,0.00242537355385448
"types_mixed",1000,1,0,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.9869,0.000923515604647155
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.600333333333333,0.00909651088766593
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.626555555555556,0.00660721208729327
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.647983333333333,0.00644072303215998
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.725166666666667,0.0103552140414759
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.738944444444444,0.00832932995220477
"types_mixed",1000,0.7,0.5,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.772783333333333,0.00736284519675658
"types_mixed",100,1,0.5,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.92,0.00700163496898922
"types_mixed",300,1,0.5,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.971333333333333,0.00240375246898049
"types_mixed",1000,1,0.5,"BM","mcar",0.3,"gnn_off_rphylopars","bin","accuracy",200,0.986716666666667,0.000978403735349949
"types_mixed",100,0.3,0,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.616166666666667,0.00893233293981069
"types_mixed",300,0.3,0,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.626722222222222,0.00701009061513537
"types_mixed",1000,0.3,0,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.637583333333333,0.00658212464785918
"types_mixed",100,0.7,0,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.727333333333333,0.0109482310562368
"types_mixed",300,0.7,0,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.767555555555556,0.00808876556068972
"types_mixed",1000,0.7,0,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.7731,0.00700966509911756
"types_mixed",100,1,0,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.916666666666667,0.00771128955491006
"types_mixed",300,1,0,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.968111111111111,0.00264572786257846
"types_mixed",1000,1,0,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.984316666666667,0.0011410314718069
"types_mixed",100,0.3,0.5,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.601,0.00945738923039949
"types_mixed",300,0.3,0.5,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.623222222222222,0.00658482709625591
"types_mixed",1000,0.3,0.5,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.64005,0.00672256620841902
"types_mixed",100,0.7,0.5,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.7415,0.0100570608212245
"types_mixed",300,0.7,0.5,"BM","mcar",0.3,"gnn_on","bin","accuracy",200,0.754222222222222,0.00823026151110793
