"job_id","cell_id","rep","missing_mechanism","g6_mar_label","family","n_species","phylo_lambda","miss_frac","seed","candidate_sha","driver_sha","hostname","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","gate_open_frac","floor_fired","error"
186,186,1,"MNAR",FALSE,"F1",1000,1,0.1,48601,"6fddd79","HEAD","totoro","fixed_1",TRUE,518.77,0.423862940234014,0.422739222013523,0.00112371822049162,0.3,0.5,FALSE,NA
187,187,1,"MNAR",FALSE,"F2",1000,1,0.1,48701,"6fddd79","HEAD","totoro","fixed_1",TRUE,520.42,0.622739722516154,0.639841969776865,-0.017102247260711,0.6125,0.75,FALSE,NA
188,188,1,"MNAR",FALSE,"F3",1000,1,0.1,48801,"6fddd79","HEAD","totoro","fixed_1",TRUE,453.113,0.375485730388534,0.368286532548166,0.00719919784036827,0.15,0.166666666666667,FALSE,NA
189,189,1,"MNAR",FALSE,"F1",100,0.2,0.3,48901,"6fddd79","HEAD","totoro","fixed_1",TRUE,66.757,1.05527487219339,1.04577154254124,0.00950332965215694,0.21875,0.25,TRUE,NA
190,190,1,"MNAR",FALSE,"F2",100,0.2,0.3,49001,"6fddd79","HEAD","totoro","fixed_1",TRUE,66.418,0.960758476447722,0.959774800578996,0.000983675868725498,0.25,0.25,TRUE,NA
191,191,1,"MNAR",FALSE,"F3",100,0.2,0.3,49101,"6fddd79","HEAD","totoro","fixed_1",TRUE,65.559,0.774219676562388,0.70248393055391,0.0717357460084782,0,0,TRUE,NA
192,192,1,"MNAR",FALSE,"F1",300,0.2,0.3,49201,"6fddd79","HEAD","totoro","fixed_1",TRUE,79.626,1.04210204235234,1.05185215727561,-0.00975011492327083,0.25,0.25,FALSE,NA
193,193,1,"MNAR",FALSE,"F2",300,0.2,0.3,49301,"6fddd79","HEAD","totoro","fixed_1",TRUE,90.81,0.896257027923406,0.929457609792567,-0.0332005818691611,0.5,0.5,TRUE,NA
194,194,1,"MNAR",FALSE,"F3",300,0.2,0.3,49401,"6fddd79","HEAD","totoro","fixed_1",TRUE,84.309,0.753234234497285,0.76745845542593,-0.0142242209286451,0,0,TRUE,NA
195,195,1,"MNAR",FALSE,"F1",1000,0.2,0.3,49501,"6fddd79","HEAD","totoro","fixed_1",TRUE,322.852,0.990804235684126,0.992436931635773,-0.0016326959516465,0.375,0.5,FALSE,NA
196,196,1,"MNAR",FALSE,"F2",1000,0.2,0.3,49601,"6fddd79","HEAD","totoro","fixed_1",TRUE,319.807,0.991555689682797,1.02861421803455,-0.0370585283517478,0.725,0.75,FALSE,NA
197,197,1,"MNAR",FALSE,"F3",1000,0.2,0.3,49701,"6fddd79","HEAD","totoro","fixed_1",TRUE,344.106,0.718180039399398,0.72849760418375,-0.0103175647843516,0.166666666666667,0.166666666666667,TRUE,NA
198,198,1,"MNAR",FALSE,"F1",100,0.5,0.3,49801,"6fddd79","HEAD","totoro","fixed_1",TRUE,65.38,0.950060606378833,0.970562249271315,-0.0205016428924828,0.2875,0.5,TRUE,NA
199,199,1,"MNAR",FALSE,"F2",100,0.5,0.3,49901,"6fddd79","HEAD","totoro","fixed_1",TRUE,74.146,0.759379119117501,0.880367199358179,-0.120988080240678,0.5,0.5,TRUE,NA
200,200,1,"MNAR",FALSE,"F3",100,0.5,0.3,50001,"6fddd79","HEAD","totoro","fixed_1",TRUE,66.944,0.803919998137523,0.874919656783759,-0.0709996586462354,0.166666666666667,0.166666666666667,TRUE,NA
201,201,1,"MNAR",FALSE,"F1",300,0.5,0.3,50101,"6fddd79","HEAD","totoro","fixed_1",TRUE,78.976,0.810765969046774,0.834685851103607,-0.023919882056833,0.592105263157895,0.75,FALSE,NA
202,202,1,"MNAR",FALSE,"F2",300,0.5,0.3,50201,"6fddd79","HEAD","totoro","fixed_1",TRUE,80.06,0.992102519658592,0.997812189165166,-0.00570966950657348,0.382352941176471,0.5,FALSE,NA
203,203,1,"MNAR",FALSE,"F3",300,0.5,0.3,50301,"6fddd79","HEAD","totoro","fixed_1",TRUE,81.425,0.695378558290319,0.726804355713504,-0.0314257974231853,0.141666666666667,0.333333333333333,TRUE,NA
204,204,1,"MNAR",FALSE,"F1",1000,0.5,0.3,50401,"6fddd79","HEAD","totoro","fixed_1",TRUE,353.218,0.92497162415237,0.926302291848911,-0.00133066769654144,0.171052631578947,0.25,FALSE,NA
205,205,1,"MNAR",FALSE,"F2",1000,0.5,0.3,50501,"6fddd79","HEAD","totoro","fixed_1",TRUE,338.277,0.905472627461017,0.937691722848777,-0.0322190953877598,0.5,0.5,FALSE,NA
206,206,1,"MNAR",FALSE,"F3",1000,0.5,0.3,50601,"6fddd79","HEAD","totoro","fixed_1",TRUE,352.542,0.632196463676086,0.656005987235682,-0.0238095235595955,0.05,0.5,FALSE,NA
207,207,1,"MNAR",FALSE,"F1",100,1,0.3,50701,"6fddd79","HEAD","totoro","fixed_1",TRUE,61.921,0.701677090919788,0.71906406886936,-0.0173869779495718,0.25,0.25,FALSE,NA
208,208,1,"MNAR",FALSE,"F2",100,1,0.3,50801,"6fddd79","HEAD","totoro","fixed_1",TRUE,64.467,0.692766606715379,0.706757032746209,-0.01399042603083,0.3875,0.5,FALSE,NA
