"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"MNAR","F1",100,0.2,0.1,30,0,-0.0113576145628597,0.00588303967825181,0.260014189886481,0.291666666666667
"MNAR","F2",100,0.2,0.1,30,0,-0.0349143150773935,0.00664073949693657,0.31542922477133,0.35
"MNAR","F3",100,0.2,0.1,30,0,0.0181873052638306,0.0116009902458419,0.0606128167641325,0.1
"MNAR","F1",300,0.2,0.1,30,0,-0.000657507758252481,0.00253394101421553,0.254117665959771,0.291666666666667
"MNAR","F2",300,0.2,0.1,30,0,-0.049906509294924,0.00612412670705643,0.518657407407407,0.55
"MNAR","F3",300,0.2,0.1,30,0,-0.00353417449719428,0.00455232713459673,0.0898015873015873,0.116666666666667
"MNAR","F1",1000,0.2,0.1,30,0,-0.00305583735738019,0.000961524636821281,0.230555555555556,0.266666666666667
"MNAR","F2",1000,0.2,0.1,30,0,-0.0307038230885156,0.00323278283955313,0.559754482989777,0.608333333333333
"MNAR","F3",1000,0.2,0.1,30,0,-0.00581615438767792,0.0020768355943627,0.139204434697856,0.183333333333333
"MNAR","F1",100,0.5,0.1,30,0,-0.00668155251871764,0.00666236437436345,0.302834267412441,0.35
"MNAR","F2",100,0.5,0.1,30,0,-0.0505015302874791,0.0125970167317808,0.394397364940128,0.433333333333333
"MNAR","F3",100,0.5,0.1,30,0,0.0141391241780551,0.0101283878749071,0.0864353285173719,0.105555555555556
"MNAR","F1",300,0.5,0.1,30,0,-0.000411867855477029,0.00193919824351959,0.232151110950453,0.275
"MNAR","F2",300,0.5,0.1,30,0,-0.0464609817463986,0.00532271376748336,0.571512353029381,0.65
"MNAR","F3",300,0.5,0.1,30,0,0.0161535157751669,0.00510432068384159,0.0839602683178535,0.127777777777778
"MNAR","F1",1000,0.5,0.1,30,0,-0.000637055009350599,0.000653466967660847,0.147478070175439,0.216666666666667
"MNAR","F2",1000,0.5,0.1,30,0,-0.0285141523823954,0.00289798026436046,0.528548474945534,0.616666666666667
