"dgp","n","arm","n_seeds","zrmse","zrmse_mcse","acc","acc_mcse","coverage"
"avonet",300,"rphylo_pure",20,0.432822364173833,0.0400810620134992,0.778703703703704,0.00430645937819013,0.97375
"avonet",300,"rphylo_def",20,0.438212416853029,0.0398722611807626,0.770185185185185,0.00834458845737731,0.971805555555556
"avonet",300,"raw_rphylo_nopheno",20,0.547324330934178,0.0440199319318524,NA,NA,NA
"avonet",300,"raw_rphylopars",20,0.547324330934178,0.0440199319318524,NA,NA,NA
"avonet",300,"bayes_pure",20,0.780740344315244,0.0629498544902952,0.77537037037037,0.00324970911656501,0.970138888888889
"avonet",300,"cont_only_pure",20,0.790163572857479,0.0635475256623606,NA,NA,0.955555555555556
"avonet",300,"fisher_pure",20,0.790163572857479,0.0635475256623606,0.77537037037037,0.00324970911656501,0.969583333333333
"avonet",300,"inhouse_pure",20,0.790163572857479,0.0635475256623606,0.77537037037037,0.00324970911656501,0.969583333333333
"avonet",300,"fisher_def",20,0.790374291981592,0.0636310824704906,0.765,0.00706046679207021,0.969305555555556
"avonet",300,"inhouse_def",20,0.790374291981592,0.0636310824704906,0.765,0.00706046679207021,0.969305555555556
"avonet",300,"floor",20,1.03248647528445,0.0628347949583975,0.633333333333333,0.00479904449854908,NA
"bace_dgp",100,"bayes_pure",20,0.962794521180253,0.0189991136641037,0.54,0.021575381248622,0.905
"bace_dgp",100,"rphylo_def",20,1.01514700719948,0.0180596556854154,0.528333333333333,0.0195377876485243,0.893333333333333
"bace_dgp",100,"floor",20,1.02114944929809,0.0175158529519995,0.498333333333333,0.0205871418452568,NA
"bace_dgp",100,"fisher_def",20,1.02491727049927,0.0199228395446815,0.528333333333333,0.0195377876485243,0.891111111111111
"bace_dgp",100,"inhouse_def",20,1.02491727049927,0.0199228395446815,0.528333333333333,0.0195377876485243,0.891111111111111
"bace_dgp",100,"cont_only_pure",20,1.06010732889041,0.0223346965015068,NA,NA,0.897777777777778
