"job_id","cell_id","rep","family","n_species","phylo_lambda","miss_frac","seed","lambda_mode","fit_ok","fit_sec","blend_loss","baseline_loss","paired_delta","r_cal_gnn_mean","r_cal_bm_mean","r_cal_mean_mean","floor_fired","error"
31,31,1,"F2",300,0.2,0.3,13101,"fixed_1",TRUE,73.764,0.997051306351385,1.09011761092683,-0.0930663045754426,0.25,0.25,0.5,TRUE,NA
32,32,1,"F3",300,0.2,0.3,13201,"fixed_1",TRUE,76.063,0.733917829265687,0.725188941649902,0.00872888761578527,0,0.333333333333333,0.666666666666667,TRUE,NA
33,33,1,"F1",1000,0.2,0.3,13301,"fixed_1",TRUE,319.819,0.924690790959,0.924690791210927,-2.51927589900447e-10,0,1,0,FALSE,NA
34,34,1,"F2",1000,0.2,0.3,13401,"fixed_1",TRUE,336.871,0.956793863635325,0.985489464689382,-0.0286956010540571,0.657894736842105,0.342105263157895,0,FALSE,NA
35,35,1,"F3",1000,0.2,0.3,13501,"fixed_1",TRUE,322.718,0.821354019017105,0.822212931628171,-0.000858912611066076,0.0666666666666667,0.933333333333333,0,FALSE,NA
36,36,1,"F1",100,0.5,0.3,13601,"fixed_1",TRUE,59.758,0.808563705234217,0.811738800963972,-0.00317509572975572,0.5,0.4375,0.0625,FALSE,NA
37,37,1,"F2",100,0.5,0.3,13701,"fixed_1",TRUE,59.8,1.05008600171273,1.00614914491705,0.0439368567956782,0,0.0535714285714286,0.946428571428571,TRUE,NA
38,38,1,"F3",100,0.5,0.3,13801,"fixed_1",TRUE,63.503,0.777051436561088,0.853283166060123,-0.0762317294990346,0,0.166666666666667,0.833333333333333,TRUE,NA
39,39,1,"F1",300,0.5,0.3,13901,"fixed_1",TRUE,74.471,0.945627526745507,0.945627527030573,-2.85065637761761e-10,0,1,0,FALSE,NA
40,40,1,"F2",300,0.5,0.3,14001,"fixed_1",TRUE,73.912,0.800576735790217,0.763937453503388,0.0366392822868282,0.15,0.6,0.25,TRUE,NA
41,41,1,"F3",300,0.5,0.3,14101,"fixed_1",TRUE,77.746,0.749700484355053,0.735432314161421,0.0142681701936321,0.166666666666667,0.333333333333333,0.5,TRUE,NA
42,42,1,"F1",1000,0.5,0.3,14201,"fixed_1",TRUE,317.742,0.812518389744761,0.812518390139093,-3.94332122510832e-10,0,1,0,FALSE,NA
43,43,1,"F2",1000,0.5,0.3,14301,"fixed_1",TRUE,341.629,0.85075319504796,0.849906717223276,0.000846477824683833,0.2,0.7375,0.0625,FALSE,NA
44,44,1,"F3",1000,0.5,0.3,14401,"fixed_1",TRUE,356.837,0.593562442023656,0.593434709313431,0.000127732710224704,0.166666666666667,0.666666666666667,0.166666666666667,TRUE,NA
45,45,1,"F1",100,1,0.3,14501,"fixed_1",TRUE,62.617,0.645194393345855,0.645194391311945,2.03391015141108e-09,0,1,0,FALSE,NA
46,46,1,"F2",100,1,0.3,14601,"fixed_1",TRUE,61.084,0.861206585821659,0.73669428663063,0.124512299191029,0,0.375,0.625,TRUE,NA
47,47,1,"F3",100,1,0.3,14701,"fixed_1",TRUE,63.299,0.445501411104087,0.375459997081021,0.0700414140230653,0.025,0.408333333333333,0.566666666666667,TRUE,NA
48,48,1,"F1",300,1,0.3,14801,"fixed_1",TRUE,75.19,0.543879719622602,0.545997718872577,-0.0021179992499748,0.1875,0.8125,0,FALSE,NA
49,49,1,"F2",300,1,0.3,14901,"fixed_1",TRUE,75.381,0.572753009871307,0.604821694480076,-0.0320686846087693,0.375,0.575,0.05,FALSE,NA
